,pais,ano,pib,expecVida,populacao,continente
0,Albania,1920,1530.0,35.400001525878906,949000,Europe
1,Albania,1921,1550.0,35.400001525878906,955000,Europe
2,Albania,1922,1560.0,35.400001525878906,960000,Europe
3,Albania,1923,1570.0,35.400001525878906,965000,Europe
4,Albania,1924,1580.0,35.400001525878906,970000,Europe
5,Albania,1925,1600.0,35.400001525878906,975000,Europe
6,Albania,1926,1610.0,35.400001525878906,980000,Europe
7,Albania,1927,1620.0,35.400001525878906,985000,Europe
8,Albania,1928,1640.0,35.400001525878906,990000,Europe
9,Albania,1929,1650.0,35.400001525878906,997000,Europe
10,Albania,1930,1660.0,36.29999923706055,1000000,Europe
11,Albania,1931,1660.0,37.20000076293945,1010000,Europe
12,Albania,1932,1670.0,38.099998474121094,1020000,Europe
13,Albania,1933,1680.0,39.0,1030000,Europe
14,Albania,1934,1680.0,39.900001525878906,1040000,Europe
15,Albania,1935,1690.0,40.70000076293945,1050000,Europe
16,Albania,1936,1690.0,41.599998474121094,1060000,Europe
17,Albania,1937,1700.0,42.5,1080000,Europe
18,Albania,1938,1710.0,43.400001525878906,1090000,Europe
19,Albania,1939,1710.0,43.0,1100000,Europe
20,Albania,1940,1720.0,42.0,1110000,Europe
21,Albania,1941,1730.0,41.5,1120000,Europe
22,Albania,1942,1730.0,40.0,1140000,Europe
23,Albania,1943,1740.0,37.0,1150000,Europe
24,Albania,1944,1750.0,34.0,1160000,Europe
25,Albania,1945,1750.0,47.0,1180000,Europe
26,Albania,1946,1760.0,50.0,1190000,Europe
27,Albania,1947,1760.0,51.5,1210000,Europe
28,Albania,1948,1770.0,52.400001525878906,1220000,Europe
29,Albania,1949,1780.0,53.29999923706055,1240000,Europe
30,Albania,1950,1780.0,54.099998474121094,1260000,Europe
31,Albania,1951,1860.0,54.400001525878906,1290000,Europe
32,Albania,1952,1860.0,54.79999923706055,1320000,Europe
33,Albania,1953,1940.0,55.400001525878906,1350000,Europe
34,Albania,1954,2000.0,56.099998474121094,1380000,Europe
35,Albania,1955,2100.0,57.0,1420000,Europe
36,Albania,1956,2130.0,57.900001525878906,1460000,Europe
37,Albania,1957,2260.0,58.900001525878906,1500000,Europe
38,Albania,1958,2360.0,60.0,1540000,Europe
39,Albania,1959,2460.0,61.099998474121094,1590000,Europe
40,Albania,1960,2590.0,62.20000076293945,1640000,Europe
41,Albania,1961,2610.0,63.29999923706055,1690000,Europe
42,Albania,1962,2690.0,64.19999694824219,1740000,Europe
43,Albania,1963,2790.0,64.9000015258789,1790000,Europe
44,Albania,1964,2880.0,65.4000015258789,1840000,Europe
45,Albania,1965,2990.0,65.80000305175781,1900000,Europe
46,Albania,1966,3100.0,66.0999984741211,1950000,Europe
47,Albania,1967,3220.0,66.30000305175781,2000000,Europe
48,Albania,1968,3330.0,66.4000015258789,2050000,Europe
49,Albania,1969,3440.0,66.5999984741211,2100000,Europe
50,Albania,1970,3570.0,66.9000015258789,2150000,Europe
51,Albania,1971,3710.0,67.5,2200000,Europe
52,Albania,1972,3860.0,68.0999984741211,2250000,Europe
53,Albania,1973,4050.0,68.69999694824219,2310000,Europe
54,Albania,1974,4070.0,69.30000305175781,2360000,Europe
55,Albania,1975,4080.0,69.80000305175781,2410000,Europe
56,Albania,1976,4100.0,70.30000305175781,2460000,Europe
57,Albania,1977,4120.0,70.80000305175781,2520000,Europe
58,Albania,1978,4140.0,71.19999694824219,2570000,Europe
59,Albania,1979,4160.0,71.5,2630000,Europe
60,Albania,1980,4190.0,71.69999694824219,2680000,Europe
61,Albania,1981,4210.0,71.80000305175781,2740000,Europe
62,Albania,1982,4230.0,72.0,2790000,Europe
63,Albania,1983,4260.0,72.0999984741211,2840000,Europe
64,Albania,1984,4280.0,72.30000305175781,2900000,Europe
65,Albania,1985,4300.0,72.4000015258789,2970000,Europe
66,Albania,1986,4330.0,72.5999984741211,3040000,Europe
67,Albania,1987,4360.0,72.5999984741211,3120000,Europe
68,Albania,1988,4390.0,72.80000305175781,3200000,Europe
69,Albania,1989,4420.0,73.0999984741211,3260000,Europe
70,Albania,1990,4460.0,73.30000305175781,3290000,Europe
71,Albania,1991,3230.0,73.0,3280000,Europe
72,Albania,1992,3020.0,73.4000015258789,3250000,Europe
73,Albania,1993,3320.0,73.9000015258789,3200000,Europe
74,Albania,1994,3620.0,74.5,3150000,Europe
75,Albania,1995,4130.0,74.5999984741211,3110000,Europe
76,Albania,1996,4530.0,74.4000015258789,3100000,Europe
77,Albania,1997,4060.0,72.5,3100000,Europe
78,Albania,1998,4450.0,74.5,3110000,Europe
79,Albania,1999,5060.0,74.5999984741211,3120000,Europe
80,Albania,2000,5440.0,74.9000015258789,3130000,Europe
81,Albania,2001,5950.0,75.19999694824219,3130000,Europe
82,Albania,2002,6240.0,75.30000305175781,3130000,Europe
83,Albania,2003,6610.0,75.4000015258789,3120000,Europe
84,Albania,2004,7000.0,75.5999984741211,3100000,Europe
85,Albania,2005,7430.0,76.0,3090000,Europe
86,Albania,2006,7910.0,76.4000015258789,3060000,Europe
87,Albania,2007,8450.0,76.9000015258789,3030000,Europe
88,Albania,2008,9160.0,77.0,3000000,Europe
89,Albania,2009,9530.0,77.5,2970000,Europe
90,Albania,2010,9930.0,77.5999984741211,2950000,Europe
91,Albania,2011,10200.0,77.69999694824219,2930000,Europe
92,Albania,2012,10400.0,77.80000305175781,2910000,Europe
93,Albania,2013,10500.0,77.9000015258789,2900000,Europe
94,Albania,2014,10700.0,77.9000015258789,2900000,Europe
95,Albania,2015,11000.0,78.0,2890000,Europe
96,Albania,2016,11400.0,78.0999984741211,2890000,Europe
97,Albania,2017,11800.0,78.19999694824219,2880000,Europe
98,Albania,2018,12300.0,78.30000305175781,2880000,Europe
99,Albania,2019,12700.0,78.5,2880000,Europe
100,Albania,2020,13200.0,78.5999984741211,2880000,Europe
