,pais,ano,pib,expecVida,populacao,continente
0,Antigua and Barbuda,1920,1680.0,33.900001525878906,29800,Americas
1,Antigua and Barbuda,1921,1730.0,33.900001525878906,29800,Americas
2,Antigua and Barbuda,1922,1770.0,34.79999923706055,29800,Americas
3,Antigua and Barbuda,1923,1810.0,35.599998474121094,29900,Americas
4,Antigua and Barbuda,1924,1860.0,36.400001525878906,30000,Americas
5,Antigua and Barbuda,1925,1900.0,37.29999923706055,30100,Americas
6,Antigua and Barbuda,1926,1950.0,38.099998474121094,30200,Americas
7,Antigua and Barbuda,1927,2000.0,39.0,30300,Americas
8,Antigua and Barbuda,1928,2040.0,39.79999923706055,30400,Americas
9,Antigua and Barbuda,1929,2090.0,40.70000076293945,30700,Americas
10,Antigua and Barbuda,1930,2150.0,41.5,31100,Americas
11,Antigua and Barbuda,1931,2200.0,42.400001525878906,31800,Americas
12,Antigua and Barbuda,1932,2250.0,43.20000076293945,32600,Americas
13,Antigua and Barbuda,1933,2310.0,44.099998474121094,33600,Americas
14,Antigua and Barbuda,1934,2360.0,44.900001525878906,34600,Americas
15,Antigua and Barbuda,1935,2420.0,45.79999923706055,35700,Americas
16,Antigua and Barbuda,1936,2480.0,46.599998474121094,36800,Americas
17,Antigua and Barbuda,1937,2540.0,47.5,37900,Americas
18,Antigua and Barbuda,1938,2600.0,48.29999923706055,39100,Americas
19,Antigua and Barbuda,1939,2670.0,49.20000076293945,40100,Americas
20,Antigua and Barbuda,1940,2730.0,50.0,41000,Americas
21,Antigua and Barbuda,1941,2800.0,50.900001525878906,41700,Americas
22,Antigua and Barbuda,1942,2870.0,51.70000076293945,42200,Americas
23,Antigua and Barbuda,1943,2940.0,52.599998474121094,42600,Americas
24,Antigua and Barbuda,1944,3010.0,53.400001525878906,43000,Americas
25,Antigua and Barbuda,1945,3080.0,54.29999923706055,43300,Americas
26,Antigua and Barbuda,1946,3160.0,55.099998474121094,43700,Americas
27,Antigua and Barbuda,1947,3230.0,56.0,44100,Americas
28,Antigua and Barbuda,1948,3310.0,56.79999923706055,44500,Americas
29,Antigua and Barbuda,1949,3390.0,57.70000076293945,45000,Americas
30,Antigua and Barbuda,1950,3470.0,58.5,45500,Americas
31,Antigua and Barbuda,1951,3560.0,58.79999923706055,46500,Americas
32,Antigua and Barbuda,1952,3650.0,59.29999923706055,47400,Americas
33,Antigua and Barbuda,1953,3730.0,59.79999923706055,48100,Americas
34,Antigua and Barbuda,1954,3830.0,60.400001525878906,48900,Americas
35,Antigua and Barbuda,1955,3920.0,60.900001525878906,49600,Americas
36,Antigua and Barbuda,1956,4010.0,61.400001525878906,50500,Americas
37,Antigua and Barbuda,1957,4110.0,61.900001525878906,51400,Americas
38,Antigua and Barbuda,1958,4210.0,62.400001525878906,52300,Americas
39,Antigua and Barbuda,1959,4310.0,62.900001525878906,53200,Americas
40,Antigua and Barbuda,1960,4420.0,63.29999923706055,54100,Americas
41,Antigua and Barbuda,1961,4570.0,63.79999923706055,55000,Americas
42,Antigua and Barbuda,1962,4730.0,64.19999694824219,55800,Americas
43,Antigua and Barbuda,1963,4890.0,64.69999694824219,56700,Americas
44,Antigua and Barbuda,1964,5060.0,65.0999984741211,57600,Americas
45,Antigua and Barbuda,1965,5230.0,65.5,58700,Americas
