,pais,ano,pib,expecVida,populacao,continente
0,Belize,1920,1210.0,32.400001525878906,46500,Americas
1,Belize,1921,1220.0,33.0,47100,Americas
2,Belize,1922,1240.0,33.599998474121094,47700,Americas
3,Belize,1923,1260.0,34.099998474121094,48300,Americas
4,Belize,1924,1280.0,34.70000076293945,48900,Americas
5,Belize,1925,1300.0,35.29999923706055,49500,Americas
6,Belize,1926,1320.0,35.900001525878906,50100,Americas
7,Belize,1927,1340.0,36.400001525878906,50700,Americas
8,Belize,1928,1360.0,37.0,51400,Americas
9,Belize,1929,1380.0,37.599998474121094,52000,Americas
10,Belize,1930,1400.0,38.20000076293945,52700,Americas
11,Belize,1931,1420.0,38.70000076293945,53500,Americas
12,Belize,1932,1440.0,39.29999923706055,54200,Americas
13,Belize,1933,1460.0,39.900001525878906,55000,Americas
14,Belize,1934,1480.0,40.5,55800,Americas
15,Belize,1935,1500.0,41.400001525878906,56700,Americas
16,Belize,1936,1520.0,42.400001525878906,57500,Americas
17,Belize,1937,1540.0,43.29999923706055,58300,Americas
18,Belize,1938,1570.0,44.20000076293945,59200,Americas
19,Belize,1939,1590.0,45.20000076293945,60000,Americas
20,Belize,1940,1610.0,46.099998474121094,60800,Americas
21,Belize,1941,1650.0,47.099998474121094,61600,Americas
22,Belize,1942,1700.0,48.0,62300,Americas
23,Belize,1943,1740.0,49.0,63000,Americas
24,Belize,1944,1780.0,49.900001525878906,63700,Americas
25,Belize,1945,1830.0,50.900001525878906,64400,Americas
26,Belize,1946,1870.0,51.79999923706055,65100,Americas
27,Belize,1947,1920.0,52.79999923706055,65800,Americas
28,Belize,1948,1970.0,53.70000076293945,66500,Americas
29,Belize,1949,2010.0,54.599998474121094,67500,Americas
30,Belize,1950,2060.0,55.599998474121094,68900,Americas
31,Belize,1951,2100.0,55.900001525878906,71200,Americas
32,Belize,1952,2130.0,56.5,73400,Americas
33,Belize,1953,2170.0,57.0,75600,Americas
34,Belize,1954,2210.0,57.599998474121094,77700,Americas
