,pais,ano,pib,expecVida,populacao,continente
0,Benin,1920,985.0,32.70000076293945,1420000,Africa
1,Benin,1921,994.0,32.70000076293945,1440000,Africa
2,Benin,1922,1000.0,32.79999923706055,1460000,Africa
3,Benin,1923,1010.0,32.79999923706055,1480000,Africa
4,Benin,1924,1020.0,32.79999923706055,1500000,Africa
5,Benin,1925,1030.0,32.900001525878906,1530000,Africa
6,Benin,1926,1040.0,32.900001525878906,1550000,Africa
7,Benin,1927,1050.0,32.900001525878906,1570000,Africa
8,Benin,1928,1060.0,33.0,1600000,Africa
9,Benin,1929,1070.0,33.0,1620000,Africa
10,Benin,1930,1080.0,33.0,1640000,Africa
11,Benin,1931,1090.0,33.0,1670000,Africa
12,Benin,1932,1100.0,33.099998474121094,1690000,Africa
13,Benin,1933,1110.0,33.099998474121094,1720000,Africa
14,Benin,1934,1120.0,33.099998474121094,1740000,Africa
15,Benin,1935,1130.0,33.20000076293945,1760000,Africa
16,Benin,1936,1140.0,33.20000076293945,1790000,Africa
17,Benin,1937,1150.0,33.29999923706055,1810000,Africa
18,Benin,1938,1160.0,33.29999923706055,1840000,Africa
19,Benin,1939,1170.0,33.29999923706055,1870000,Africa
20,Benin,1940,1180.0,33.400001525878906,1900000,Africa
21,Benin,1941,1190.0,33.400001525878906,1930000,Africa
22,Benin,1942,1210.0,33.400001525878906,1960000,Africa
23,Benin,1943,1220.0,33.5,1990000,Africa
24,Benin,1944,1240.0,33.5,2030000,Africa
25,Benin,1945,1250.0,33.79999923706055,2070000,Africa
26,Benin,1946,1270.0,34.20000076293945,2100000,Africa
27,Benin,1947,1280.0,34.5,2140000,Africa
28,Benin,1948,1300.0,34.900001525878906,2180000,Africa
29,Benin,1949,1320.0,35.20000076293945,2220000,Africa
30,Benin,1950,1330.0,35.5,2260000,Africa
31,Benin,1951,1310.0,35.900001525878906,2260000,Africa
32,Benin,1952,1280.0,36.400001525878906,2260000,Africa
33,Benin,1953,1220.0,37.0,2270000,Africa
34,Benin,1954,1230.0,37.599998474121094,2290000,Africa
35,Benin,1955,1210.0,38.20000076293945,2300000,Africa
36,Benin,1956,1180.0,38.70000076293945,2320000,Africa
37,Benin,1957,1160.0,39.29999923706055,2350000,Africa
38,Benin,1958,1170.0,39.79999923706055,2370000,Africa
39,Benin,1959,1190.0,40.400001525878906,2400000,Africa
40,Benin,1960,1200.0,40.900001525878906,2430000,Africa
41,Benin,1961,1210.0,41.5,2470000,Africa
42,Benin,1962,1140.0,42.0,2500000,Africa
43,Benin,1963,1170.0,42.599998474121094,2540000,Africa
44,Benin,1964,1220.0,43.099998474121094,2590000,Africa
45,Benin,1965,1250.0,43.70000076293945,2630000,Africa
46,Benin,1966,1260.0,44.400001525878906,2680000,Africa
47,Benin,1967,1240.0,45.0,2740000,Africa
48,Benin,1968,1260.0,45.599998474121094,2790000,Africa
49,Benin,1969,1260.0,46.29999923706055,2850000,Africa
50,Benin,1970,1260.0,47.0,2910000,Africa
51,Benin,1971,1250.0,47.400001525878906,2980000,Africa
52,Benin,1972,1340.0,48.0,3040000,Africa
53,Benin,1973,1360.0,48.5,3110000,Africa
54,Benin,1974,1410.0,49.0,3190000,Africa
55,Benin,1975,1280.0,49.29999923706055,3270000,Africa
56,Benin,1976,1260.0,49.70000076293945,3350000,Africa
57,Benin,1977,1280.0,50.0,3430000,Africa
58,Benin,1978,1230.0,50.400001525878906,3520000,Africa
59,Benin,1979,1290.0,50.79999923706055,3620000,Africa
60,Benin,1980,1370.0,51.29999923706055,3720000,Africa
61,Benin,1981,1410.0,51.79999923706055,3820000,Africa
62,Benin,1982,1510.0,52.20000076293945,3930000,Africa
63,Benin,1983,1400.0,52.70000076293945,4040000,Africa
64,Benin,1984,1460.0,53.0,4160000,Africa
65,Benin,1985,1530.0,53.5,4280000,Africa
66,Benin,1986,1510.0,54.0,4400000,Africa
67,Benin,1987,1440.0,54.5,4540000,Africa
68,Benin,1988,1440.0,54.900001525878906,4670000,Africa
69,Benin,1989,1390.0,55.099998474121094,4820000,Africa
70,Benin,1990,1460.0,55.20000076293945,4980000,Africa
71,Benin,1991,1470.0,55.5,5150000,Africa
72,Benin,1992,1470.0,56.0,5330000,Africa
73,Benin,1993,1500.0,56.400001525878906,5520000,Africa
74,Benin,1994,1480.0,56.5,5710000,Africa
75,Benin,1995,1520.0,56.70000076293945,5910000,Africa
76,Benin,1996,1530.0,56.79999923706055,6090000,Africa
77,Benin,1997,1570.0,57.0,6280000,Africa
78,Benin,1998,1590.0,57.20000076293945,6470000,Africa
79,Benin,1999,1620.0,57.400001525878906,6660000,Africa
80,Benin,2000,1670.0,57.5,6870000,Africa
81,Benin,2001,1700.0,57.70000076293945,7080000,Africa
82,Benin,2002,1730.0,58.099998474121094,7300000,Africa
83,Benin,2003,1740.0,58.400001525878906,7520000,Africa
84,Benin,2004,1760.0,58.79999923706055,7750000,Africa
85,Benin,2005,1740.0,59.20000076293945,7980000,Africa
86,Benin,2006,1750.0,59.599998474121094,8220000,Africa
87,Benin,2007,1810.0,60.0,8450000,Africa
88,Benin,2008,1840.0,60.5,8700000,Africa
