,pais,ano,pib,expecVida,populacao,continente
0,Bolivia,1920,2040.0,34.5,2350000,Americas
1,Bolivia,1921,1950.0,34.5,2380000,Americas
2,Bolivia,1922,2110.0,34.5,2410000,Americas
3,Bolivia,1923,2120.0,34.5,2440000,Americas
4,Bolivia,1924,2190.0,34.599998474121094,2460000,Americas
5,Bolivia,1925,2260.0,34.599998474121094,2490000,Americas
6,Bolivia,1926,2280.0,34.599998474121094,2520000,Americas
7,Bolivia,1927,2420.0,34.70000076293945,2550000,Americas
8,Bolivia,1928,2490.0,34.70000076293945,2580000,Americas
9,Bolivia,1929,2560.0,34.70000076293945,2610000,Americas
10,Bolivia,1930,2410.0,34.79999923706055,2640000,Americas
11,Bolivia,1931,2150.0,34.79999923706055,2670000,Americas
12,Bolivia,1932,1980.0,34.79999923706055,2700000,Americas
13,Bolivia,1933,2060.0,34.79999923706055,2730000,Americas
14,Bolivia,1934,2220.0,34.900001525878906,2770000,Americas
15,Bolivia,1935,2290.0,34.900001525878906,2800000,Americas
16,Bolivia,1936,2350.0,34.900001525878906,2830000,Americas
17,Bolivia,1937,2510.0,35.0,2860000,Americas
18,Bolivia,1938,2570.0,35.0,2900000,Americas
19,Bolivia,1939,2630.0,35.0,2920000,Americas
20,Bolivia,1940,2810.0,35.0,2950000,Americas
21,Bolivia,1941,2980.0,35.79999923706055,2970000,Americas
22,Bolivia,1942,3020.0,36.599998474121094,2980000,Americas
23,Bolivia,1943,3080.0,37.29999923706055,2990000,Americas
24,Bolivia,1944,3050.0,38.099998474121094,3000000,Americas
25,Bolivia,1945,3130.0,38.79999923706055,3000000,Americas
26,Bolivia,1946,3050.0,39.599998474121094,3010000,Americas
27,Bolivia,1947,2950.0,40.400001525878906,3020000,Americas
28,Bolivia,1948,3150.0,41.099998474121094,3030000,Americas
29,Bolivia,1949,3250.0,41.900001525878906,3050000,Americas
30,Bolivia,1950,3180.0,42.70000076293945,3080000,Americas
31,Bolivia,1951,3390.0,42.900001525878906,3120000,Americas
32,Bolivia,1952,3420.0,43.20000076293945,3170000,Americas
33,Bolivia,1953,3030.0,43.5,3220000,Americas
34,Bolivia,1954,3030.0,43.900001525878906,3270000,Americas
35,Bolivia,1955,3120.0,44.20000076293945,3330000,Americas
36,Bolivia,1956,2870.0,44.599998474121094,3390000,Americas
37,Bolivia,1957,2720.0,45.0,3450000,Americas
38,Bolivia,1958,2720.0,45.29999923706055,3520000,Americas
39,Bolivia,1959,2650.0,45.70000076293945,3590000,Americas
40,Bolivia,1960,2700.0,46.0,3660000,Americas
41,Bolivia,1961,2700.0,46.400001525878906,3730000,Americas
