,pais,ano,pib,expecVida,populacao,continente
0,Central African Republic,1920,754.0,31.899999618530273,893000,Africa
1,Central African Republic,1921,766.0,31.899999618530273,898000,Africa
2,Central African Republic,1922,778.0,32.0,906000,Africa
3,Central African Republic,1923,791.0,32.0,918000,Africa
4,Central African Republic,1924,804.0,32.0,930000,Africa
5,Central African Republic,1925,816.0,32.099998474121094,942000,Africa
6,Central African Republic,1926,829.0,32.099998474121094,954000,Africa
7,Central African Republic,1927,843.0,32.20000076293945,967000,Africa
8,Central African Republic,1928,856.0,32.20000076293945,979000,Africa
9,Central African Republic,1929,870.0,32.20000076293945,992000,Africa
10,Central African Republic,1930,884.0,32.29999923706055,1000000,Africa
11,Central African Republic,1931,898.0,32.29999923706055,1020000,Africa
12,Central African Republic,1932,912.0,32.400001525878906,1030000,Africa
13,Central African Republic,1933,927.0,32.400001525878906,1040000,Africa
14,Central African Republic,1934,942.0,32.400001525878906,1050000,Africa
15,Central African Republic,1935,957.0,32.5,1070000,Africa
16,Central African Republic,1936,972.0,32.5,1080000,Africa
17,Central African Republic,1937,987.0,32.5,1090000,Africa
18,Central African Republic,1938,1000.0,32.599998474121094,1110000,Africa
19,Central African Republic,1939,1020.0,32.599998474121094,1120000,Africa
20,Central African Republic,1940,1040.0,32.599998474121094,1140000,Africa
21,Central African Republic,1941,1060.0,32.70000076293945,1150000,Africa
22,Central African Republic,1942,1080.0,32.70000076293945,1170000,Africa
23,Central African Republic,1943,1110.0,32.79999923706055,1190000,Africa
24,Central African Republic,1944,1130.0,32.79999923706055,1210000,Africa
25,Central African Republic,1945,1160.0,32.79999923706055,1230000,Africa
26,Central African Republic,1946,1190.0,32.900001525878906,1250000,Africa
27,Central African Republic,1947,1210.0,33.599998474121094,1270000,Africa
28,Central African Republic,1948,1240.0,34.400001525878906,1290000,Africa
29,Central African Republic,1949,1270.0,35.099998474121094,1310000,Africa
30,Central African Republic,1950,1300.0,35.900001525878906,1330000,Africa
31,Central African Republic,1951,1330.0,36.20000076293945,1340000,Africa
32,Central African Republic,1952,1360.0,36.70000076293945,1360000,Africa
33,Central African Republic,1953,1390.0,37.20000076293945,1370000,Africa
34,Central African Republic,1954,1420.0,37.70000076293945,1390000,Africa
35,Central African Republic,1955,1450.0,38.20000076293945,1400000,Africa
36,Central African Republic,1956,1480.0,38.70000076293945,1420000,Africa
37,Central African Republic,1957,1510.0,39.099998474121094,1440000,Africa
38,Central African Republic,1958,1540.0,39.599998474121094,1460000,Africa
39,Central African Republic,1959,1570.0,40.099998474121094,1480000,Africa
40,Central African Republic,1960,1560.0,40.599998474121094,1500000,Africa
41,Central African Republic,1961,1580.0,41.099998474121094,1530000,Africa
42,Central African Republic,1962,1510.0,41.70000076293945,1550000,Africa
43,Central African Republic,1963,1480.0,42.20000076293945,1580000,Africa
44,Central African Republic,1964,1470.0,42.79999923706055,1610000,Africa
45,Central African Republic,1965,1450.0,43.400001525878906,1640000,Africa
46,Central African Republic,1966,1410.0,44.0,1670000,Africa
47,Central African Republic,1967,1430.0,44.79999923706055,1710000,Africa
48,Central African Republic,1968,1410.0,45.5,1740000,Africa
49,Central African Republic,1969,1450.0,46.400001525878906,1780000,Africa
50,Central African Republic,1970,1480.0,47.29999923706055,1810000,Africa
51,Central African Republic,1971,1400.0,47.29999923706055,1840000,Africa
52,Central African Republic,1972,1340.0,47.29999923706055,1870000,Africa
53,Central African Republic,1973,1370.0,47.29999923706055,1890000,Africa
54,Central African Republic,1974,1300.0,47.400001525878906,1920000,Africa
55,Central African Republic,1975,1290.0,47.400001525878906,1960000,Africa
56,Central African Republic,1976,1310.0,47.599998474121094,2000000,Africa
57,Central African Republic,1977,1380.0,47.79999923706055,2040000,Africa
58,Central African Republic,1978,1360.0,48.0,2090000,Africa
59,Central African Republic,1979,1290.0,48.29999923706055,2140000,Africa
60,Central African Republic,1980,1200.0,48.599998474121094,2200000,Africa
61,Central African Republic,1981,1180.0,48.900001525878906,2260000,Africa
62,Central African Republic,1982,1170.0,49.099998474121094,2340000,Africa
63,Central African Republic,1983,1070.0,49.0,2410000,Africa
64,Central African Republic,1984,1110.0,49.0,2480000,Africa
65,Central African Republic,1985,1110.0,48.900001525878906,2540000,Africa
66,Central African Republic,1986,1120.0,48.79999923706055,2600000,Africa
67,Central African Republic,1987,1040.0,48.599998474121094,2650000,Africa
68,Central African Republic,1988,1030.0,48.0,2690000,Africa
69,Central African Republic,1989,1030.0,47.599998474121094,2750000,Africa
70,Central African Republic,1990,983.0,47.20000076293945,2810000,Africa
71,Central African Republic,1991,953.0,46.900001525878906,2880000,Africa
72,Central African Republic,1992,867.0,46.5,2960000,Africa
