,pais,ano,pib,expecVida,populacao,continente
0,Chad,1920,737.0,33.900001525878906,1680000,Africa
1,Chad,1921,744.0,33.900001525878906,1690000,Africa
2,Chad,1922,753.0,34.0,1700000,Africa
3,Chad,1923,761.0,34.099998474121094,1730000,Africa
4,Chad,1924,769.0,34.099998474121094,1750000,Africa
5,Chad,1925,777.0,34.20000076293945,1770000,Africa
6,Chad,1926,786.0,34.20000076293945,1790000,Africa
7,Chad,1927,794.0,34.29999923706055,1820000,Africa
8,Chad,1928,802.0,34.400001525878906,1840000,Africa
9,Chad,1929,810.0,34.400001525878906,1870000,Africa
10,Chad,1930,819.0,34.5,1890000,Africa
11,Chad,1931,827.0,34.5,1910000,Africa
12,Chad,1932,836.0,34.599998474121094,1940000,Africa
13,Chad,1933,845.0,34.70000076293945,1960000,Africa
14,Chad,1934,853.0,34.70000076293945,1980000,Africa
15,Chad,1935,862.0,34.79999923706055,2010000,Africa
16,Chad,1936,871.0,34.79999923706055,2030000,Africa
17,Chad,1937,879.0,34.900001525878906,2050000,Africa
18,Chad,1938,888.0,35.0,2080000,Africa
19,Chad,1939,897.0,35.0,2110000,Africa
20,Chad,1940,906.0,35.099998474121094,2130000,Africa
21,Chad,1941,915.0,35.099998474121094,2170000,Africa
22,Chad,1942,924.0,35.20000076293945,2200000,Africa
23,Chad,1943,933.0,35.29999923706055,2230000,Africa
24,Chad,1944,942.0,35.29999923706055,2270000,Africa
25,Chad,1945,951.0,35.400001525878906,2310000,Africa
26,Chad,1946,960.0,36.5,2340000,Africa
27,Chad,1947,969.0,37.599998474121094,2380000,Africa
28,Chad,1948,978.0,38.79999923706055,2420000,Africa
29,Chad,1949,987.0,39.900001525878906,2460000,Africa
30,Chad,1950,997.0,41.0,2500000,Africa
31,Chad,1951,1020.0,41.29999923706055,2540000,Africa
32,Chad,1952,1040.0,41.599998474121094,2590000,Africa
33,Chad,1953,1060.0,42.0,2640000,Africa
34,Chad,1954,1090.0,42.400001525878906,2690000,Africa
35,Chad,1955,1110.0,42.70000076293945,2740000,Africa
36,Chad,1956,1130.0,43.099998474121094,2790000,Africa
37,Chad,1957,1160.0,43.5,2840000,Africa
38,Chad,1958,1180.0,43.900001525878906,2890000,Africa
39,Chad,1959,1200.0,44.29999923706055,2950000,Africa
40,Chad,1960,1190.0,44.599998474121094,3000000,Africa
41,Chad,1961,1200.0,45.0,3060000,Africa
42,Chad,1962,1250.0,45.400001525878906,3120000,Africa
43,Chad,1963,1230.0,45.79999923706055,3180000,Africa
44,Chad,1964,1180.0,46.20000076293945,3250000,Africa
45,Chad,1965,1180.0,46.599998474121094,3310000,Africa
46,Chad,1966,1140.0,47.0,3370000,Africa
47,Chad,1967,1130.0,47.5,3430000,Africa
48,Chad,1968,1120.0,48.099998474121094,3500000,Africa
49,Chad,1969,1180.0,48.70000076293945,3570000,Africa
50,Chad,1970,1190.0,49.29999923706055,3640000,Africa
51,Chad,1971,1200.0,49.099998474121094,3730000,Africa
52,Chad,1972,1100.0,50.0,3820000,Africa
53,Chad,1973,1030.0,50.900001525878906,3910000,Africa
54,Chad,1974,1160.0,51.0,4000000,Africa
55,Chad,1975,1350.0,51.29999923706055,4090000,Africa
56,Chad,1976,1310.0,51.0,4170000,Africa
57,Chad,1977,1190.0,51.20000076293945,4260000,Africa
58,Chad,1978,1170.0,51.400001525878906,4340000,Africa
59,Chad,1979,909.0,51.400001525878906,4420000,Africa
60,Chad,1980,863.0,51.400001525878906,4510000,Africa
61,Chad,1981,776.0,51.099998474121094,4610000,Africa
62,Chad,1982,788.0,51.0,4720000,Africa
63,Chad,1983,875.0,51.29999923706055,4830000,Africa
64,Chad,1984,917.0,51.599998474121094,4960000,Africa
65,Chad,1985,989.0,52.5,5100000,Africa
66,Chad,1986,1030.0,52.5,5250000,Africa
67,Chad,1987,1040.0,51.29999923706055,5410000,Africa
68,Chad,1988,1090.0,53.599998474121094,5590000,Africa
69,Chad,1989,1090.0,53.70000076293945,5770000,Africa
70,Chad,1990,1110.0,53.400001525878906,5960000,Africa
71,Chad,1991,1170.0,53.5,6160000,Africa
72,Chad,1992,1220.0,53.29999923706055,6360000,Africa
73,Chad,1993,996.0,53.5,6560000,Africa
74,Chad,1994,1060.0,53.29999923706055,6780000,Africa
75,Chad,1995,1040.0,53.20000076293945,7010000,Africa
76,Chad,1996,1030.0,52.70000076293945,7250000,Africa
77,Chad,1997,1050.0,52.5,7500000,Africa
78,Chad,1998,1080.0,52.29999923706055,7770000,Africa
79,Chad,1999,1040.0,52.29999923706055,8050000,Africa
80,Chad,2000,992.0,52.099998474121094,8360000,Africa
81,Chad,2001,1070.0,52.29999923706055,8680000,Africa
82,Chad,2002,1110.0,52.5,9020000,Africa
83,Chad,2003,1230.0,52.599998474121094,9370000,Africa
84,Chad,2004,1580.0,53.0,9730000,Africa
85,Chad,2005,1790.0,53.599998474121094,10100000,Africa
86,Chad,2006,1740.0,53.70000076293945,10500000,Africa
87,Chad,2007,1740.0,54.599998474121094,10800000,Africa
88,Chad,2008,1730.0,55.099998474121094,11200000,Africa
89,Chad,2009,1740.0,55.79999923706055,11600000,Africa
90,Chad,2010,1920.0,56.400001525878906,12000000,Africa
91,Chad,2011,1850.0,56.900001525878906,12400000,Africa
92,Chad,2012,1950.0,57.5,12800000,Africa
93,Chad,2013,1990.0,58.099998474121094,13200000,Africa
94,Chad,2014,2060.0,58.70000076293945,13700000,Africa
95,Chad,2015,2050.0,59.20000076293945,14100000,Africa
96,Chad,2016,1860.0,59.70000076293945,14600000,Africa
97,Chad,2017,1750.0,60.0,15000000,Africa
98,Chad,2018,1750.0,60.29999923706055,15500000,Africa
99,Chad,2019,1740.0,60.599998474121094,15900000,Africa
100,Chad,2020,1790.0,60.900001525878906,16400000,Africa
