,pais,ano,pib,expecVida,populacao,continente
0,"Congo, Dem. Rep.",1920,885.0,33.900001525878906,8110000,Africa
1,"Congo, Dem. Rep.",1921,902.0,34.0,8150000,Africa
2,"Congo, Dem. Rep.",1922,920.0,34.0,8230000,Africa
3,"Congo, Dem. Rep.",1923,937.0,34.099998474121094,8340000,Africa
4,"Congo, Dem. Rep.",1924,956.0,34.099998474121094,8450000,Africa
5,"Congo, Dem. Rep.",1925,974.0,34.20000076293945,8560000,Africa
6,"Congo, Dem. Rep.",1926,993.0,34.20000076293945,8670000,Africa
7,"Congo, Dem. Rep.",1927,1010.0,34.29999923706055,8790000,Africa
8,"Congo, Dem. Rep.",1928,1030.0,34.29999923706055,8900000,Africa
9,"Congo, Dem. Rep.",1929,1050.0,34.400001525878906,9020000,Africa
10,"Congo, Dem. Rep.",1930,1070.0,34.400001525878906,9140000,Africa
11,"Congo, Dem. Rep.",1931,1090.0,34.5,9250000,Africa
12,"Congo, Dem. Rep.",1932,1110.0,34.5,9370000,Africa
13,"Congo, Dem. Rep.",1933,1140.0,34.5,9480000,Africa
14,"Congo, Dem. Rep.",1934,1160.0,34.599998474121094,9600000,Africa
15,"Congo, Dem. Rep.",1935,1180.0,34.599998474121094,9710000,Africa
16,"Congo, Dem. Rep.",1936,1200.0,34.70000076293945,9830000,Africa
17,"Congo, Dem. Rep.",1937,1220.0,34.70000076293945,9950000,Africa
18,"Congo, Dem. Rep.",1938,1250.0,34.79999923706055,10100000,Africa
19,"Congo, Dem. Rep.",1939,1270.0,34.79999923706055,10200000,Africa
20,"Congo, Dem. Rep.",1940,1300.0,34.900001525878906,10300000,Africa
21,"Congo, Dem. Rep.",1941,1320.0,35.70000076293945,10500000,Africa
22,"Congo, Dem. Rep.",1942,1350.0,36.5,10700000,Africa
23,"Congo, Dem. Rep.",1943,1370.0,37.29999923706055,10800000,Africa
24,"Congo, Dem. Rep.",1944,1400.0,38.0,11000000,Africa
25,"Congo, Dem. Rep.",1945,1430.0,38.79999923706055,11200000,Africa
26,"Congo, Dem. Rep.",1946,1460.0,39.599998474121094,11400000,Africa
27,"Congo, Dem. Rep.",1947,1480.0,40.5,11600000,Africa
28,"Congo, Dem. Rep.",1948,1510.0,41.29999923706055,11700000,Africa
29,"Congo, Dem. Rep.",1949,1540.0,42.099998474121094,12000000,Africa
30,"Congo, Dem. Rep.",1950,1570.0,42.900001525878906,12200000,Africa
31,"Congo, Dem. Rep.",1951,1720.0,43.099998474121094,12400000,Africa
32,"Congo, Dem. Rep.",1952,1840.0,43.599998474121094,12700000,Africa
33,"Congo, Dem. Rep.",1953,1910.0,44.0,12900000,Africa
34,"Congo, Dem. Rep.",1954,1990.0,44.5,13200000,Africa
35,"Congo, Dem. Rep.",1955,2020.0,44.900001525878906,13500000,Africa
36,"Congo, Dem. Rep.",1956,2120.0,45.29999923706055,13800000,Africa
37,"Congo, Dem. Rep.",1957,2140.0,45.599998474121094,14200000,Africa
38,"Congo, Dem. Rep.",1958,2030.0,45.900001525878906,14500000,Africa
39,"Congo, Dem. Rep.",1959,2060.0,46.29999923706055,14900000,Africa
40,"Congo, Dem. Rep.",1960,2060.0,46.599998474121094,15200000,Africa
41,"Congo, Dem. Rep.",1961,1800.0,46.900001525878906,15600000,Africa
42,"Congo, Dem. Rep.",1962,2110.0,47.20000076293945,16000000,Africa
43,"Congo, Dem. Rep.",1963,2160.0,47.5,16500000,Africa
44,"Congo, Dem. Rep.",1964,2060.0,47.79999923706055,16900000,Africa
45,"Congo, Dem. Rep.",1965,2030.0,48.20000076293945,17400000,Africa
46,"Congo, Dem. Rep.",1966,2110.0,48.599998474121094,17900000,Africa
47,"Congo, Dem. Rep.",1967,2030.0,49.0,18400000,Africa
