,pais,ano,pib,expecVida,populacao,continente
0,Costa Rica,1920,2510.0,35.599998474121094,458000,Americas
1,Costa Rica,1921,2400.0,36.400001525878906,465000,Americas
2,Costa Rica,1922,2610.0,37.099998474121094,473000,Americas
3,Costa Rica,1923,2360.0,37.900001525878906,481000,Americas
4,Costa Rica,1924,2640.0,38.599998474121094,490000,Americas
5,Costa Rica,1925,2570.0,39.29999923706055,499000,Americas
6,Costa Rica,1926,2790.0,40.0,507000,Americas
7,Costa Rica,1927,2530.0,40.79999923706055,516000,Americas
8,Costa Rica,1928,2610.0,41.5,525000,Americas
9,Costa Rica,1929,2450.0,42.29999923706055,535000,Americas
10,Costa Rica,1930,2510.0,43.0,545000,Americas
11,Costa Rica,1931,2430.0,43.5,556000,Americas
12,Costa Rica,1932,2200.0,44.0,568000,Americas
13,Costa Rica,1933,2570.0,44.5,580000,Americas
14,Costa Rica,1934,2220.0,45.0,593000,Americas
15,Costa Rica,1935,2360.0,45.5,606000,Americas
16,Costa Rica,1936,2470.0,46.0,619000,Americas
17,Costa Rica,1937,2790.0,46.400001525878906,632000,Americas
18,Costa Rica,1938,2900.0,46.900001525878906,646000,Americas
19,Costa Rica,1939,2890.0,47.400001525878906,662000,Americas
20,Costa Rica,1940,2730.0,47.900001525878906,680000,Americas
21,Costa Rica,1941,3000.0,48.900001525878906,700000,Americas
22,Costa Rica,1942,2610.0,49.79999923706055,722000,Americas
23,Costa Rica,1943,2560.0,50.79999923706055,746000,Americas
24,Costa Rica,1944,2260.0,51.79999923706055,772000,Americas
25,Costa Rica,1945,2500.0,52.70000076293945,798000,Americas
26,Costa Rica,1946,2720.0,53.70000076293945,825000,Americas
27,Costa Rica,1947,3150.0,54.599998474121094,854000,Americas
28,Costa Rica,1948,3240.0,55.599998474121094,883000,Americas
29,Costa Rica,1949,3280.0,56.5,913000,Americas
30,Costa Rica,1950,3030.0,57.5,946000,Americas
31,Costa Rica,1951,3020.0,57.79999923706055,972000,Americas
32,Costa Rica,1952,3270.0,58.400001525878906,1000000,Americas
33,Costa Rica,1953,3640.0,59.0,1040000,Americas
34,Costa Rica,1954,3540.0,59.599998474121094,1070000,Americas
35,Costa Rica,1955,3800.0,60.29999923706055,1110000,Americas
36,Costa Rica,1956,3560.0,60.900001525878906,1150000,Americas
