,pais,ano,pib,expecVida,populacao,continente
0,Cuba,1920,3460.0,38.0,3070000,Americas
1,Cuba,1921,3350.0,38.29999923706055,3150000,Americas
2,Cuba,1922,3310.0,38.5,3230000,Americas
3,Cuba,1923,3280.0,38.79999923706055,3310000,Americas
4,Cuba,1924,3390.0,39.099998474121094,3390000,Americas
5,Cuba,1925,3730.0,39.400001525878906,3480000,Americas
6,Cuba,1926,3540.0,40.0,3570000,Americas
7,Cuba,1927,3500.0,40.5,3660000,Americas
8,Cuba,1928,3310.0,41.099998474121094,3750000,Americas
9,Cuba,1929,3650.0,41.70000076293945,3840000,Americas
10,Cuba,1930,3460.0,42.29999923706055,3920000,Americas
11,Cuba,1931,2560.0,42.900001525878906,4000000,Americas
12,Cuba,1932,2370.0,43.5,4080000,Americas
13,Cuba,1933,2260.0,44.20000076293945,4150000,Americas
14,Cuba,1934,2450.0,44.79999923706055,4220000,Americas
15,Cuba,1935,2640.0,45.5,4290000,Americas
16,Cuba,1936,2790.0,46.099998474121094,4370000,Americas
17,Cuba,1937,2980.0,46.70000076293945,4450000,Americas
18,Cuba,1938,3010.0,47.29999923706055,4520000,Americas
19,Cuba,1939,2980.0,47.900001525878906,4610000,Americas
20,Cuba,1940,3010.0,48.5,4700000,Americas
21,Cuba,1941,3200.0,49.20000076293945,4800000,Americas
22,Cuba,1942,3200.0,49.900001525878906,4910000,Americas
23,Cuba,1943,3010.0,50.70000076293945,5030000,Americas
24,Cuba,1944,3310.0,51.400001525878906,5150000,Americas
25,Cuba,1945,3310.0,52.099998474121094,5270000,Americas
26,Cuba,1946,3500.0,53.599998474121094,5400000,Americas
27,Cuba,1947,3730.0,55.099998474121094,5530000,Americas
28,Cuba,1948,3650.0,56.599998474121094,5660000,Americas
29,Cuba,1949,3620.0,58.099998474121094,5790000,Americas
30,Cuba,1950,3840.0,59.70000076293945,5920000,Americas
31,Cuba,1951,3880.0,60.0,6050000,Americas
32,Cuba,1952,4140.0,60.599998474121094,6180000,Americas
33,Cuba,1953,3800.0,61.20000076293945,6300000,Americas
34,Cuba,1954,3800.0,61.79999923706055,6420000,Americas
35,Cuba,1955,3840.0,62.5,6540000,Americas
36,Cuba,1956,3990.0,63.099998474121094,6650000,Americas
37,Cuba,1957,4260.0,63.70000076293945,6760000,Americas
38,Cuba,1958,4260.0,64.30000305175781,6880000,Americas
39,Cuba,1959,4380.0,65.0,7010000,Americas
40,Cuba,1960,4360.0,65.5999984741211,7140000,Americas
41,Cuba,1961,4470.0,66.30000305175781,7290000,Americas
42,Cuba,1962,4330.0,66.9000015258789,7450000,Americas
43,Cuba,1963,4310.0,67.5999984741211,7620000,Americas
44,Cuba,1964,4600.0,68.19999694824219,7790000,Americas
45,Cuba,1965,4500.0,68.9000015258789,7960000,Americas
46,Cuba,1966,4640.0,69.5999984741211,8120000,Americas
47,Cuba,1967,5080.0,70.19999694824219,8270000,Americas
48,Cuba,1968,4700.0,70.80000305175781,8410000,Americas
49,Cuba,1969,4570.0,71.4000015258789,8560000,Americas
50,Cuba,1970,4340.0,72.0,8710000,Americas
51,Cuba,1971,4600.0,72.30000305175781,8870000,Americas
52,Cuba,1972,4740.0,72.69999694824219,9030000,Americas
53,Cuba,1973,5080.0,73.0,9180000,Americas
