,pais,ano,pib,expecVida,populacao,continente
0,Dominica,1920,1380.0,,36700,Americas
1,Dominica,1921,1390.0,,37200,Americas
2,Dominica,1922,1390.0,,37700,Americas
3,Dominica,1923,1400.0,,38300,Americas
4,Dominica,1924,1410.0,,38800,Americas
5,Dominica,1925,1410.0,,39400,Americas
6,Dominica,1926,1420.0,,40000,Americas
7,Dominica,1927,1420.0,,40600,Americas
8,Dominica,1928,1430.0,,41200,Americas
9,Dominica,1929,1440.0,,41800,Americas
10,Dominica,1930,1440.0,,42400,Americas
11,Dominica,1931,1450.0,,42900,Americas
12,Dominica,1932,1450.0,,43400,Americas
13,Dominica,1933,1450.0,,43900,Americas
14,Dominica,1934,1460.0,,44400,Americas
15,Dominica,1935,1460.0,,44900,Americas
16,Dominica,1936,1470.0,,45400,Americas
17,Dominica,1937,1470.0,,45900,Americas
18,Dominica,1938,1480.0,,46400,Americas
19,Dominica,1939,1480.0,,46900,Americas
20,Dominica,1940,1480.0,,47300,Americas
21,Dominica,1941,1490.0,,47700,Americas
22,Dominica,1942,1490.0,,48100,Americas
23,Dominica,1943,1490.0,,48400,Americas
24,Dominica,1944,1490.0,,48800,Americas
25,Dominica,1945,1490.0,,49100,Americas
26,Dominica,1946,1490.0,,49400,Americas
27,Dominica,1947,1500.0,,49800,Americas
28,Dominica,1948,1500.0,,50100,Americas
29,Dominica,1949,1500.0,,50600,Americas
30,Dominica,1950,1500.0,,51100,Americas
31,Dominica,1951,1630.0,,51700,Americas
32,Dominica,1952,1710.0,,52300,Americas
33,Dominica,1953,1640.0,,52900,Americas
34,Dominica,1954,1680.0,,53700,Americas
35,Dominica,1955,1730.0,,54600,Americas
36,Dominica,1956,1840.0,,55500,Americas
37,Dominica,1957,1890.0,,56600,Americas
38,Dominica,1958,1930.0,,57800,Americas
39,Dominica,1959,1870.0,,58900,Americas
40,Dominica,1960,1900.0,,60000,Americas
41,Dominica,1961,1800.0,,61000,Americas
42,Dominica,1962,2050.0,,62000,Americas
43,Dominica,1963,2120.0,,62900,Americas
44,Dominica,1964,2200.0,,63900,Americas
45,Dominica,1965,1870.0,,65000,Americas
46,Dominica,1966,2060.0,,66300,Americas
47,Dominica,1967,2080.0,,67700,Americas
48,Dominica,1968,2020.0,,69000,Americas
49,Dominica,1969,2190.0,,70200,Americas
50,Dominica,1970,2360.0,68.19999694824219,71100,Americas
51,Dominica,1971,2510.0,68.69999694824219,71600,Americas
52,Dominica,1972,2670.0,69.4000015258789,71700,Americas
53,Dominica,1973,2870.0,70.0999984741211,71700,Americas
54,Dominica,1974,3030.0,70.69999694824219,71800,Americas
55,Dominica,1975,3120.0,71.19999694824219,72100,Americas
56,Dominica,1976,3340.0,71.80000305175781,72700,Americas
57,Dominica,1977,3430.0,72.30000305175781,73400,Americas
58,Dominica,1978,3840.0,73.0,74300,Americas
59,Dominica,1979,3150.0,72.0,75000,Americas
60,Dominica,1980,3630.0,74.0,75300,Americas
61,Dominica,1981,4100.0,74.4000015258789,75300,Americas
62,Dominica,1982,4270.0,74.5,75000,Americas
63,Dominica,1983,4370.0,74.5999984741211,74500,Americas
64,Dominica,1984,4640.0,74.4000015258789,73800,Americas
65,Dominica,1985,4780.0,74.0999984741211,73200,Americas
66,Dominica,1986,5180.0,73.9000015258789,72500,Americas
67,Dominica,1987,5640.0,73.69999694824219,71800,Americas
68,Dominica,1988,6190.0,73.4000015258789,71200,Americas
69,Dominica,1989,6260.0,73.19999694824219,70700,Americas
70,Dominica,1990,6660.0,72.9000015258789,70400,Americas
71,Dominica,1991,6750.0,72.9000015258789,70400,Americas
72,Dominica,1992,6870.0,72.9000015258789,70500,Americas
73,Dominica,1993,6990.0,72.80000305175781,70800,Americas
74,Dominica,1994,6970.0,72.9000015258789,71000,Americas
75,Dominica,1995,7180.0,72.9000015258789,71100,Americas
76,Dominica,1996,7420.0,73.0,70900,Americas
77,Dominica,1997,7620.0,73.30000305175781,70600,Americas
78,Dominica,1998,7950.0,73.5,70200,Americas
79,Dominica,1999,8020.0,73.5999984741211,69800,Americas
80,Dominica,2000,8230.0,73.69999694824219,69700,Americas
81,Dominica,2001,8220.0,73.9000015258789,69700,Americas
82,Dominica,2002,7970.0,74.0,69800,Americas
83,Dominica,2003,8450.0,73.9000015258789,70100,Americas
84,Dominica,2004,8670.0,74.0,70400,Americas
85,Dominica,2005,8700.0,74.0999984741211,70600,Americas
86,Dominica,2006,9090.0,74.0999984741211,70700,Americas
87,Dominica,2007,9660.0,74.0,70800,Americas
88,Dominica,2008,10300.0,74.19999694824219,70800,Americas
89,Dominica,2009,10200.0,74.0,70800,Americas
90,Dominica,2010,10300.0,73.5999984741211,70900,Americas
91,Dominica,2011,10300.0,73.4000015258789,70900,Americas
92,Dominica,2012,10100.0,73.19999694824219,71000,Americas
93,Dominica,2013,10100.0,73.0,71000,Americas
94,Dominica,2014,10500.0,72.69999694824219,71100,Americas
95,Dominica,2015,10200.0,72.4000015258789,71200,Americas
96,Dominica,2016,10500.0,72.69999694824219,71300,Americas
97,Dominica,2017,9440.0,72.80000305175781,71500,Americas
98,Dominica,2018,9470.0,,71600,Americas
99,Dominica,2019,10400.0,,71800,Americas
100,Dominica,2020,10900.0,,72000,Americas
