,pais,ano,pib,expecVida,populacao,continente
0,Dominican Republic,1920,1230.0,31.799999237060547,890000,Americas
1,Dominican Republic,1921,1260.0,31.899999618530273,919000,Americas
2,Dominican Republic,1922,1290.0,31.899999618530273,950000,Americas
3,Dominican Republic,1923,1320.0,31.899999618530273,985000,Americas
4,Dominican Republic,1924,1350.0,32.0,1020000,Americas
5,Dominican Republic,1925,1380.0,32.0,1060000,Americas
6,Dominican Republic,1926,1410.0,32.0,1100000,Americas
7,Dominican Republic,1927,1440.0,32.099998474121094,1140000,Americas
8,Dominican Republic,1928,1480.0,32.099998474121094,1180000,Americas
9,Dominican Republic,1929,1510.0,32.20000076293945,1220000,Americas
10,Dominican Republic,1930,1540.0,32.20000076293945,1260000,Americas
11,Dominican Republic,1931,1580.0,32.29999923706055,1300000,Americas
12,Dominican Republic,1932,1610.0,32.29999923706055,1340000,Americas
13,Dominican Republic,1933,1650.0,32.29999923706055,1380000,Americas
14,Dominican Republic,1934,1690.0,32.400001525878906,1420000,Americas
15,Dominican Republic,1935,1720.0,32.400001525878906,1460000,Americas
16,Dominican Republic,1936,1760.0,33.5,1500000,Americas
17,Dominican Republic,1937,1800.0,34.599998474121094,1550000,Americas
18,Dominican Republic,1938,1840.0,35.599998474121094,1590000,Americas
19,Dominican Republic,1939,1880.0,36.70000076293945,1640000,Americas
20,Dominican Republic,1940,1920.0,37.79999923706055,1690000,Americas
21,Dominican Republic,1941,1960.0,38.900001525878906,1740000,Americas
22,Dominican Republic,1942,2010.0,40.0,1800000,Americas
23,Dominican Republic,1943,2050.0,41.099998474121094,1870000,Americas
24,Dominican Republic,1944,2100.0,42.20000076293945,1930000,Americas
25,Dominican Republic,1945,2140.0,43.29999923706055,2000000,Americas
26,Dominican Republic,1946,2190.0,44.400001525878906,2070000,Americas
27,Dominican Republic,1947,2240.0,45.5,2140000,Americas
28,Dominican Republic,1948,2290.0,46.599998474121094,2210000,Americas
29,Dominican Republic,1949,2340.0,47.79999923706055,2290000,Americas
30,Dominican Republic,1950,2390.0,48.900001525878906,2360000,Americas
31,Dominican Republic,1951,2600.0,49.400001525878906,2440000,Americas
32,Dominican Republic,1952,2730.0,50.400001525878906,2520000,Americas
33,Dominican Republic,1953,2610.0,51.29999923706055,2600000,Americas
34,Dominican Republic,1954,2670.0,52.29999923706055,2690000,Americas
35,Dominican Republic,1955,2750.0,53.20000076293945,2780000,Americas
36,Dominican Republic,1956,2930.0,54.099998474121094,2880000,Americas
37,Dominican Republic,1957,3010.0,55.099998474121094,2980000,Americas
38,Dominican Republic,1958,3070.0,56.0,3080000,Americas
39,Dominican Republic,1959,2980.0,56.900001525878906,3190000,Americas
40,Dominican Republic,1960,3030.0,57.79999923706055,3290000,Americas
41,Dominican Republic,1961,2860.0,58.70000076293945,3410000,Americas
42,Dominican Republic,1962,3230.0,59.5,3520000,Americas
43,Dominican Republic,1963,3330.0,60.400001525878906,3640000,Americas
44,Dominican Republic,1964,3430.0,61.20000076293945,3760000,Americas
45,Dominican Republic,1965,2910.0,62.099998474121094,3880000,Americas
46,Dominican Republic,1966,3190.0,62.900001525878906,4000000,Americas
47,Dominican Republic,1967,3200.0,63.70000076293945,4120000,Americas
48,Dominican Republic,1968,3100.0,64.5,4250000,Americas
49,Dominican Republic,1969,3340.0,65.19999694824219,4370000,Americas
50,Dominican Republic,1970,3580.0,66.0,4500000,Americas
51,Dominican Republic,1971,3850.0,66.4000015258789,4630000,Americas
52,Dominican Republic,1972,4200.0,66.80000305175781,4760000,Americas
53,Dominican Republic,1973,4580.0,67.4000015258789,4880000,Americas
54,Dominican Republic,1974,4720.0,67.80000305175781,5010000,Americas
55,Dominican Republic,1975,4810.0,68.19999694824219,5140000,Americas
56,Dominican Republic,1976,5000.0,68.5999984741211,5280000,Americas
57,Dominican Republic,1977,5110.0,69.0,5410000,Americas
58,Dominican Republic,1978,5100.0,69.5,5540000,Americas
59,Dominican Republic,1979,5190.0,69.0999984741211,5670000,Americas
60,Dominican Republic,1980,5370.0,70.30000305175781,5800000,Americas
61,Dominican Republic,1981,5450.0,70.5999984741211,5940000,Americas
62,Dominican Republic,1982,5420.0,70.9000015258789,6070000,Americas
63,Dominican Republic,1983,5520.0,71.0,6200000,Americas
64,Dominican Republic,1984,5410.0,71.0999984741211,6330000,Americas
65,Dominican Republic,1985,5150.0,71.0999984741211,6460000,Americas
66,Dominican Republic,1986,5190.0,71.0999984741211,6600000,Americas
67,Dominican Republic,1987,5450.0,71.0999984741211,6730000,Americas
68,Dominican Republic,1988,5370.0,71.4000015258789,6860000,Americas
69,Dominican Republic,1989,5920.0,71.69999694824219,7000000,Americas
70,Dominican Republic,1990,5520.0,72.0,7130000,Americas
71,Dominican Republic,1991,5460.0,72.4000015258789,7270000,Americas
72,Dominican Republic,1992,5960.0,72.9000015258789,7410000,Americas
73,Dominican Republic,1993,6290.0,73.19999694824219,7550000,Americas
74,Dominican Republic,1994,6330.0,73.4000015258789,7680000,Americas
75,Dominican Republic,1995,6580.0,73.5,7820000,Americas
76,Dominican Republic,1996,6850.0,73.4000015258789,7950000,Americas
77,Dominican Republic,1997,7340.0,73.4000015258789,8080000,Americas
78,Dominican Republic,1998,7710.0,73.30000305175781,8210000,Americas
79,Dominican Republic,1999,8040.0,73.5999984741211,8340000,Americas
80,Dominican Republic,2000,8290.0,73.9000015258789,8470000,Americas
81,Dominican Republic,2001,8370.0,74.0,8600000,Americas
82,Dominican Republic,2002,8620.0,74.0999984741211,8720000,Americas
83,Dominican Republic,2003,8380.0,73.80000305175781,8850000,Americas
84,Dominican Republic,2004,8480.0,73.0999984741211,8970000,Americas
85,Dominican Republic,2005,9150.0,73.19999694824219,9100000,Americas
86,Dominican Republic,2006,9860.0,73.19999694824219,9220000,Americas
87,Dominican Republic,2007,10500.0,73.5,9340000,Americas
88,Dominican Republic,2008,10700.0,73.80000305175781,9460000,Americas
89,Dominican Republic,2009,10600.0,74.0,9580000,Americas
90,Dominican Republic,2010,11400.0,74.0,9700000,Americas
91,Dominican Republic,2011,11600.0,73.9000015258789,9810000,Americas
92,Dominican Republic,2012,11800.0,73.5999984741211,9930000,Americas
93,Dominican Republic,2013,12200.0,73.19999694824219,10000000,Americas
94,Dominican Republic,2014,13000.0,73.0,10200000,Americas
95,Dominican Republic,2015,13700.0,72.80000305175781,10300000,Americas
96,Dominican Republic,2016,14500.0,72.80000305175781,10400000,Americas
97,Dominican Republic,2017,15000.0,73.0999984741211,10500000,Americas
98,Dominican Republic,2018,15800.0,73.30000305175781,10600000,Americas
99,Dominican Republic,2019,16400.0,73.5,10700000,Americas
100,Dominican Republic,2020,17100.0,73.69999694824219,10800000,Americas
