,pais,ano,pib,expecVida,populacao,continente
0,Egypt,1920,2870.0,32.599998474121094,12300000,Africa
1,Egypt,1921,2890.0,32.5,12500000,Africa
2,Egypt,1922,2900.0,32.5,12600000,Africa
3,Egypt,1923,2910.0,32.5,12700000,Africa
4,Egypt,1924,2920.0,32.5,12900000,Africa
5,Egypt,1925,2930.0,32.5,13000000,Africa
6,Egypt,1926,2940.0,32.5,13200000,Africa
7,Egypt,1927,2950.0,32.5,13300000,Africa
8,Egypt,1928,2960.0,30.200000762939453,13500000,Africa
9,Egypt,1929,2970.0,30.100000381469727,13600000,Africa
10,Egypt,1930,2990.0,34.79999923706055,13800000,Africa
11,Egypt,1931,3000.0,32.0,14000000,Africa
12,Egypt,1932,3010.0,30.5,14100000,Africa
13,Egypt,1933,3020.0,31.799999237060547,14300000,Africa
14,Egypt,1934,3030.0,31.0,14500000,Africa
15,Egypt,1935,3040.0,32.599998474121094,14700000,Africa
16,Egypt,1936,3050.0,30.799999237060547,14900000,Africa
17,Egypt,1937,3070.0,33.900001525878906,15100000,Africa
18,Egypt,1938,3080.0,34.20000076293945,15300000,Africa
19,Egypt,1939,3090.0,35.29999923706055,15600000,Africa
20,Egypt,1940,3100.0,33.79999923706055,15900000,Africa
21,Egypt,1941,3110.0,35.0,16200000,Africa
22,Egypt,1942,3120.0,29.899999618530273,16600000,Africa
23,Egypt,1943,3140.0,29.200000762939453,17100000,Africa
24,Egypt,1944,3150.0,32.70000076293945,17500000,Africa
25,Egypt,1945,3160.0,31.600000381469727,18000000,Africa
26,Egypt,1946,3170.0,33.70000076293945,18400000,Africa
27,Egypt,1947,3180.0,35.400001525878906,18900000,Africa
28,Egypt,1948,3200.0,35.5,19400000,Africa
29,Egypt,1949,3210.0,35.900001525878906,19900000,Africa
30,Egypt,1950,3220.0,37.599998474121094,20500000,Africa
31,Egypt,1951,2410.0,38.29999923706055,20900000,Africa
32,Egypt,1952,2400.0,39.70000076293945,21500000,Africa
33,Egypt,1953,2380.0,40.900001525878906,22000000,Africa
34,Egypt,1954,2370.0,42.099998474121094,22600000,Africa
35,Egypt,1955,2360.0,43.099998474121094,23200000,Africa
36,Egypt,1956,2410.0,44.099998474121094,23900000,Africa
37,Egypt,1957,2470.0,44.900001525878906,24500000,Africa
38,Egypt,1958,2520.0,45.599998474121094,25200000,Africa
39,Egypt,1959,2580.0,46.29999923706055,25900000,Africa
40,Egypt,1960,2640.0,46.900001525878906,26600000,Africa
41,Egypt,1961,2740.0,47.5,27400000,Africa
42,Egypt,1962,2840.0,48.0,28100000,Africa
43,Egypt,1963,2950.0,48.400001525878906,28900000,Africa
44,Egypt,1964,3060.0,48.900001525878906,29600000,Africa
45,Egypt,1965,3170.0,49.29999923706055,30400000,Africa
46,Egypt,1966,3100.0,49.70000076293945,31200000,Africa
47,Egypt,1967,2980.0,50.0,32100000,Africa
48,Egypt,1968,2950.0,50.29999923706055,32900000,Africa
49,Egypt,1969,3080.0,50.5,33700000,Africa
50,Egypt,1970,3210.0,50.79999923706055,34500000,Africa
51,Egypt,1971,3270.0,51.70000076293945,35300000,Africa
52,Egypt,1972,3250.0,51.900001525878906,36100000,Africa
53,Egypt,1973,3270.0,52.29999923706055,36900000,Africa
54,Egypt,1974,3310.0,53.29999923706055,37700000,Africa
55,Egypt,1975,3550.0,54.0,38500000,Africa
56,Egypt,1976,4000.0,54.70000076293945,39400000,Africa
57,Egypt,1977,4380.0,55.400001525878906,40300000,Africa
58,Egypt,1978,4550.0,56.29999923706055,41300000,Africa
59,Egypt,1979,4740.0,57.29999923706055,42300000,Africa
60,Egypt,1980,5060.0,58.0,43300000,Africa
61,Egypt,1981,5060.0,58.29999923706055,44400000,Africa
62,Egypt,1982,5390.0,58.900001525878906,45500000,Africa
63,Egypt,1983,5610.0,59.5,46700000,Africa
64,Egypt,1984,5740.0,60.29999923706055,48000000,Africa
65,Egypt,1985,5910.0,60.20000076293945,49300000,Africa
66,Egypt,1986,5860.0,61.0,50600000,Africa
67,Egypt,1987,5840.0,61.400001525878906,52000000,Africa
68,Egypt,1988,5920.0,63.099998474121094,53400000,Africa
69,Egypt,1989,5940.0,63.70000076293945,54800000,Africa
