,pais,ano,pib,expecVida,populacao,continente
0,El Salvador,1920,2060.0,29.5,1320000,Americas
1,El Salvador,1921,2030.0,29.5,1350000,Americas
2,El Salvador,1922,2100.0,29.600000381469727,1370000,Americas
3,El Salvador,1923,2150.0,29.600000381469727,1400000,Americas
4,El Salvador,1924,2250.0,29.600000381469727,1430000,Americas
5,El Salvador,1925,2040.0,29.600000381469727,1460000,Americas
6,El Salvador,1926,2360.0,29.600000381469727,1490000,Americas
7,El Salvador,1927,2050.0,29.600000381469727,1520000,Americas
8,El Salvador,1928,2330.0,29.600000381469727,1560000,Americas
9,El Salvador,1929,2300.0,29.700000762939453,1590000,Americas
10,El Salvador,1930,2310.0,29.700000762939453,1610000,Americas
11,El Salvador,1931,2040.0,30.399999618530273,1640000,Americas
12,El Salvador,1932,1820.0,31.200000762939453,1660000,Americas
13,El Salvador,1933,2040.0,32.0,1680000,Americas
14,El Salvador,1934,2080.0,32.79999923706055,1700000,Americas
15,El Salvador,1935,2260.0,33.5,1730000,Americas
16,El Salvador,1936,2180.0,34.29999923706055,1750000,Americas
17,El Salvador,1937,2350.0,35.099998474121094,1770000,Americas
18,El Salvador,1938,2160.0,35.900001525878906,1790000,Americas
19,El Salvador,1939,2290.0,36.599998474121094,1810000,Americas
20,El Salvador,1940,2460.0,37.400001525878906,1840000,Americas
21,El Salvador,1941,2370.0,38.20000076293945,1870000,Americas
22,El Salvador,1942,2530.0,39.0,1900000,Americas
23,El Salvador,1943,2730.0,39.79999923706055,1930000,Americas
24,El Salvador,1944,2540.0,40.5,1970000,Americas
25,El Salvador,1945,2410.0,41.29999923706055,2000000,Americas
26,El Salvador,1946,2420.0,42.099998474121094,2040000,Americas
27,El Salvador,1947,3010.0,42.900001525878906,2070000,Americas
28,El Salvador,1948,3770.0,43.70000076293945,2110000,Americas
29,El Salvador,1949,3370.0,44.5,2150000,Americas
30,El Salvador,1950,3290.0,45.20000076293945,2200000,Americas
31,El Salvador,1951,3270.0,45.70000076293945,2240000,Americas
32,El Salvador,1952,3420.0,46.70000076293945,2280000,Americas
33,El Salvador,1953,3570.0,47.70000076293945,2330000,Americas
34,El Salvador,1954,3510.0,48.599998474121094,2380000,Americas
35,El Salvador,1955,3590.0,49.5,2430000,Americas
36,El Salvador,1956,3760.0,50.5,2490000,Americas
37,El Salvador,1957,3840.0,51.400001525878906,2550000,Americas
38,El Salvador,1958,3810.0,52.29999923706055,2620000,Americas
39,El Salvador,1959,3860.0,53.099998474121094,2690000,Americas
40,El Salvador,1960,3900.0,53.900001525878906,2770000,Americas
41,El Salvador,1961,3900.0,54.70000076293945,2850000,Americas
42,El Salvador,1962,4230.0,55.5,2930000,Americas
43,El Salvador,1963,4270.0,56.20000076293945,3020000,Americas
44,El Salvador,1964,4530.0,56.900001525878906,3110000,Americas
45,El Salvador,1965,4610.0,57.5,3200000,Americas
46,El Salvador,1966,4760.0,58.0,3290000,Americas
47,El Salvador,1967,4860.0,58.5,3390000,Americas
48,El Salvador,1968,4840.0,59.0,3480000,Americas
49,El Salvador,1969,4820.0,59.400001525878906,3580000,Americas
50,El Salvador,1970,4770.0,59.70000076293945,3670000,Americas
51,El Salvador,1971,4860.0,60.29999923706055,3770000,Americas
52,El Salvador,1972,5010.0,60.70000076293945,3870000,Americas
53,El Salvador,1973,5140.0,61.599998474121094,3960000,Americas
54,El Salvador,1974,5330.0,62.20000076293945,4060000,Americas
55,El Salvador,1975,5480.0,62.79999923706055,4150000,Americas
56,El Salvador,1976,5550.0,63.5,4250000,Americas
57,El Salvador,1977,5730.0,64.0999984741211,4340000,Americas
58,El Salvador,1978,5930.0,64.69999694824219,4430000,Americas
59,El Salvador,1979,5680.0,65.19999694824219,4510000,Americas
60,El Salvador,1980,5110.0,65.80000305175781,4590000,Americas
61,El Salvador,1981,4740.0,59.5,4670000,Americas
62,El Salvador,1982,4510.0,63.400001525878906,4740000,Americas
63,El Salvador,1983,4490.0,62.0,4800000,Americas
64,El Salvador,1984,4520.0,63.900001525878906,4870000,Americas
65,El Salvador,1985,4530.0,65.5999984741211,4940000,Americas
66,El Salvador,1986,4470.0,65.5,5000000,Americas
67,El Salvador,1987,4490.0,67.0,5070000,Americas
68,El Salvador,1988,4480.0,68.4000015258789,5130000,Americas
69,El Salvador,1989,4440.0,66.80000305175781,5200000,Americas
