,pais,ano,pib,expecVida,populacao,continente
0,Afghanistan,1920,1490.0,30.600000381469727,10600000,Asia
1,Afghanistan,1921,1520.0,30.700000762939453,10500000,Asia
2,Afghanistan,1922,1550.0,30.799999237060547,10300000,Asia
3,Afghanistan,1923,1570.0,30.799999237060547,9710000,Asia
4,Afghanistan,1924,1600.0,30.899999618530273,9200000,Asia
5,Afghanistan,1925,1630.0,31.0,8720000,Asia
6,Afghanistan,1926,1650.0,31.0,8260000,Asia
7,Afghanistan,1927,1680.0,31.100000381469727,7830000,Asia
8,Afghanistan,1928,1710.0,31.100000381469727,7420000,Asia
9,Afghanistan,1929,1740.0,31.200000762939453,7100000,Asia
10,Afghanistan,1930,1770.0,31.299999237060547,6870000,Asia
11,Afghanistan,1931,1790.0,31.299999237060547,6720000,Asia
12,Afghanistan,1932,1820.0,31.399999618530273,6640000,Asia
13,Afghanistan,1933,1850.0,31.399999618530273,6640000,Asia
14,Afghanistan,1934,1880.0,31.5,6640000,Asia
15,Afghanistan,1935,1910.0,31.600000381469727,6640000,Asia
16,Afghanistan,1936,1940.0,31.600000381469727,6640000,Asia
17,Afghanistan,1937,1970.0,31.700000762939453,6640000,Asia
18,Afghanistan,1938,2000.0,31.799999237060547,6640000,Asia
19,Afghanistan,1939,2030.0,31.799999237060547,6660000,Asia
20,Afghanistan,1940,2060.0,31.899999618530273,6700000,Asia
21,Afghanistan,1941,2090.0,31.899999618530273,6770000,Asia
22,Afghanistan,1942,2130.0,32.0,6850000,Asia
23,Afghanistan,1943,2160.0,32.099998474121094,6950000,Asia
24,Afghanistan,1944,2190.0,32.099998474121094,7060000,Asia
25,Afghanistan,1945,2220.0,32.20000076293945,7170000,Asia
26,Afghanistan,1946,2260.0,32.20000076293945,7280000,Asia
27,Afghanistan,1947,2290.0,32.29999923706055,7390000,Asia
28,Afghanistan,1948,2320.0,32.400001525878906,7500000,Asia
29,Afghanistan,1949,2360.0,32.400001525878906,7620000,Asia
30,Afghanistan,1950,2390.0,32.5,7750000,Asia
31,Afghanistan,1951,2420.0,32.900001525878906,7840000,Asia
32,Afghanistan,1952,2460.0,33.599998474121094,7940000,Asia
33,Afghanistan,1953,2570.0,34.29999923706055,8040000,Asia
34,Afghanistan,1954,2580.0,35.0,8150000,Asia
35,Afghanistan,1955,2580.0,35.70000076293945,8270000,Asia
36,Afghanistan,1956,2640.0,36.400001525878906,8400000,Asia
37,Afghanistan,1957,2590.0,37.099998474121094,8540000,Asia
38,Afghanistan,1958,2680.0,37.900001525878906,8680000,Asia
39,Afghanistan,1959,2710.0,38.599998474121094,8830000,Asia
40,Afghanistan,1960,2740.0,39.29999923706055,9000000,Asia
41,Afghanistan,1961,2700.0,40.0,9170000,Asia
42,Afghanistan,1962,2680.0,40.79999923706055,9350000,Asia
43,Afghanistan,1963,2670.0,41.5,9540000,Asia
44,Afghanistan,1964,2650.0,42.29999923706055,9740000,Asia
45,Afghanistan,1965,2640.0,43.0,9960000,Asia
46,Afghanistan,1966,2600.0,43.70000076293945,10200000,Asia
47,Afghanistan,1967,2600.0,44.5,10400000,Asia
48,Afghanistan,1968,2620.0,45.20000076293945,10600000,Asia
49,Afghanistan,1969,2590.0,45.900001525878906,10900000,Asia
50,Afghanistan,1970,2570.0,46.599998474121094,11200000,Asia
51,Afghanistan,1971,2500.0,46.79999923706055,11500000,Asia
52,Afghanistan,1972,2030.0,46.79999923706055,11800000,Asia
53,Afghanistan,1973,2030.0,46.900001525878906,12100000,Asia
54,Afghanistan,1974,2080.0,47.0,12400000,Asia
