,pais,ano,pib,expecVida,populacao,continente
0,Algeria,1920,2360.0,29.600000381469727,5750000,Africa
1,Algeria,1921,2420.0,29.600000381469727,5800000,Africa
2,Algeria,1922,2480.0,29.399999618530273,5860000,Africa
3,Algeria,1923,2540.0,32.0,5920000,Africa
4,Algeria,1924,2600.0,33.5,5990000,Africa
5,Algeria,1925,2660.0,34.29999923706055,6050000,Africa
6,Algeria,1926,2720.0,33.599998474121094,6120000,Africa
7,Algeria,1927,2780.0,28.799999237060547,6190000,Africa
8,Algeria,1928,2830.0,32.400001525878906,6260000,Africa
9,Algeria,1929,2890.0,32.70000076293945,6340000,Africa
10,Algeria,1930,2950.0,34.0,6420000,Africa
11,Algeria,1931,3030.0,31.899999618530273,6520000,Africa
12,Algeria,1932,3110.0,33.29999923706055,6630000,Africa
13,Algeria,1933,3190.0,34.599998474121094,6740000,Africa
14,Algeria,1934,3280.0,34.0,6860000,Africa
15,Algeria,1935,3360.0,35.900001525878906,6990000,Africa
16,Algeria,1936,3440.0,37.099998474121094,7110000,Africa
17,Algeria,1937,3530.0,35.20000076293945,7230000,Africa
18,Algeria,1938,3610.0,34.599998474121094,7360000,Africa
19,Algeria,1939,3690.0,36.900001525878906,7490000,Africa
20,Algeria,1940,3780.0,37.29999923706055,7610000,Africa
21,Algeria,1941,3870.0,35.599998474121094,7730000,Africa
22,Algeria,1942,3950.0,34.900001525878906,7860000,Africa
23,Algeria,1943,4040.0,30.200000762939453,7970000,Africa
24,Algeria,1944,4120.0,35.70000076293945,8090000,Africa
25,Algeria,1945,4210.0,33.5,8210000,Africa
26,Algeria,1946,4300.0,35.70000076293945,8340000,Africa
27,Algeria,1947,4380.0,39.099998474121094,8460000,Africa
28,Algeria,1948,4470.0,42.29999923706055,8590000,Africa
29,Algeria,1949,4560.0,44.79999923706055,8730000,Africa
30,Algeria,1950,4640.0,47.29999923706055,8870000,Africa
31,Algeria,1951,4650.0,47.5,9020000,Africa
32,Algeria,1952,4810.0,48.0,9190000,Africa
33,Algeria,1953,4860.0,48.599998474121094,9360000,Africa
34,Algeria,1954,5170.0,49.099998474121094,9560000,Africa
35,Algeria,1955,5260.0,49.599998474121094,9770000,Africa
36,Algeria,1956,5730.0,50.20000076293945,10000000,Africa
37,Algeria,1957,6320.0,50.79999923706055,10300000,Africa
38,Algeria,1958,6500.0,51.29999923706055,10500000,Africa
39,Algeria,1959,7620.0,51.900001525878906,10800000,Africa
40,Algeria,1960,8080.0,52.5,11100000,Africa
41,Algeria,1961,7780.0,53.099998474121094,11300000,Africa
42,Algeria,1962,4910.0,53.70000076293945,11600000,Africa
43,Algeria,1963,6030.0,54.29999923706055,11900000,Africa
44,Algeria,1964,6460.0,54.900001525878906,12200000,Africa
45,Algeria,1965,6850.0,55.400001525878906,12600000,Africa
46,Algeria,1966,6210.0,56.0,12900000,Africa
47,Algeria,1967,6700.0,56.5,13300000,Africa
48,Algeria,1968,7200.0,57.0,13700000,Africa
49,Algeria,1969,7570.0,57.599998474121094,14100000,Africa
50,Algeria,1970,8070.0,58.099998474121094,14500000,Africa
51,Algeria,1971,7170.0,58.400001525878906,14900000,Africa
52,Algeria,1972,8410.0,58.79999923706055,15300000,Africa
53,Algeria,1973,8430.0,59.20000076293945,15700000,Africa
54,Algeria,1974,8670.0,59.70000076293945,16100000,Africa
55,Algeria,1975,8990.0,60.099998474121094,16600000,Africa
56,Algeria,1976,9290.0,60.599998474121094,17100000,Africa
57,Algeria,1977,9810.0,61.20000076293945,17600000,Africa
58,Algeria,1978,10700.0,61.79999923706055,18100000,Africa
59,Algeria,1979,11300.0,62.5,18600000,Africa
60,Algeria,1980,11200.0,62.79999923706055,19200000,Africa
61,Algeria,1981,11100.0,64.0,19800000,Africa
62,Algeria,1982,11400.0,65.0999984741211,20500000,Africa
63,Algeria,1983,11600.0,66.4000015258789,21100000,Africa
64,Algeria,1984,11800.0,67.5999984741211,21800000,Africa
65,Algeria,1985,12100.0,68.69999694824219,22400000,Africa
66,Algeria,1986,11600.0,69.5,23100000,Africa
67,Algeria,1987,11200.0,70.19999694824219,23800000,Africa
68,Algeria,1988,10700.0,70.80000305175781,24400000,Africa
69,Algeria,1989,10700.0,71.30000305175781,25100000,Africa
70,Algeria,1990,10300.0,71.69999694824219,25800000,Africa
71,Algeria,1991,9930.0,72.19999694824219,26400000,Africa
72,Algeria,1992,9870.0,72.5,27000000,Africa
73,Algeria,1993,9450.0,72.69999694824219,27600000,Africa
74,Algeria,1994,9170.0,72.80000305175781,28200000,Africa
75,Algeria,1995,9340.0,72.9000015258789,28800000,Africa
76,Algeria,1996,9560.0,73.30000305175781,29300000,Africa
77,Algeria,1997,9510.0,73.19999694824219,29700000,Africa
78,Algeria,1998,9840.0,73.5,30200000,Africa
79,Algeria,1999,10000.0,73.9000015258789,30600000,Africa
80,Algeria,2000,10300.0,74.0,31000000,Africa
81,Algeria,2001,10400.0,74.19999694824219,31500000,Africa
82,Algeria,2002,10900.0,74.5,31900000,Africa
83,Algeria,2003,11500.0,74.5999984741211,32300000,Africa
84,Algeria,2004,11800.0,75.0,32700000,Africa
85,Algeria,2005,12400.0,75.30000305175781,33100000,Africa
86,Algeria,2006,12400.0,75.5,33600000,Africa
87,Algeria,2007,12600.0,75.69999694824219,34200000,Africa
88,Algeria,2008,12700.0,75.9000015258789,34700000,Africa
89,Algeria,2009,12700.0,76.0999984741211,35300000,Africa
90,Algeria,2010,12900.0,76.30000305175781,36000000,Africa
91,Algeria,2011,13000.0,76.5,36700000,Africa
92,Algeria,2012,13200.0,76.80000305175781,37400000,Africa
93,Algeria,2013,13300.0,76.9000015258789,38100000,Africa
94,Algeria,2014,13500.0,77.0,38900000,Africa
95,Algeria,2015,13800.0,77.0999984741211,39700000,Africa
96,Algeria,2016,13900.0,77.4000015258789,40600000,Africa
97,Algeria,2017,13900.0,77.69999694824219,41400000,Africa
98,Algeria,2018,13900.0,77.9000015258789,42200000,Africa
99,Algeria,2019,14000.0,78.0999984741211,43100000,Africa
100,Algeria,2020,14000.0,78.30000305175781,43900000,Africa
