,pais,ano,pib,expecVida,populacao,continente
0,Angola,1920,1250.0,30.399999618530273,2880000,Africa
1,Angola,1921,1290.0,30.5,2900000,Africa
2,Angola,1922,1330.0,30.600000381469727,2940000,Africa
3,Angola,1923,1370.0,30.600000381469727,2980000,Africa
4,Angola,1924,1410.0,30.700000762939453,3030000,Africa
5,Angola,1925,1460.0,30.799999237060547,3070000,Africa
6,Angola,1926,1500.0,30.799999237060547,3120000,Africa
7,Angola,1927,1550.0,30.899999618530273,3160000,Africa
8,Angola,1928,1600.0,31.0,3210000,Africa
9,Angola,1929,1650.0,31.0,3260000,Africa
10,Angola,1930,1700.0,31.100000381469727,3310000,Africa
11,Angola,1931,1760.0,31.200000762939453,3350000,Africa
12,Angola,1932,1810.0,31.200000762939453,3400000,Africa
13,Angola,1933,1870.0,31.299999237060547,3450000,Africa
14,Angola,1934,1930.0,31.399999618530273,3500000,Africa
15,Angola,1935,1990.0,31.399999618530273,3550000,Africa
16,Angola,1936,2060.0,31.5,3600000,Africa
17,Angola,1937,2120.0,31.600000381469727,3650000,Africa
18,Angola,1938,2190.0,31.600000381469727,3700000,Africa
19,Angola,1939,2260.0,31.700000762939453,3750000,Africa
20,Angola,1940,2330.0,31.799999237060547,3810000,Africa
21,Angola,1941,2400.0,32.099998474121094,3870000,Africa
22,Angola,1942,2480.0,32.5,3940000,Africa
23,Angola,1943,2560.0,32.79999923706055,4010000,Africa
24,Angola,1944,2640.0,33.099998474121094,4080000,Africa
25,Angola,1945,2720.0,33.5,4160000,Africa
26,Angola,1946,2810.0,33.79999923706055,4230000,Africa
27,Angola,1947,2900.0,34.099998474121094,4310000,Africa
28,Angola,1948,2990.0,34.5,4390000,Africa
29,Angola,1949,3080.0,34.79999923706055,4470000,Africa
30,Angola,1950,3180.0,35.20000076293945,4550000,Africa
31,Angola,1951,3260.0,35.5,4620000,Africa
32,Angola,1952,3340.0,36.0,4710000,Africa
33,Angola,1953,3420.0,36.599998474121094,4820000,Africa
34,Angola,1954,3290.0,37.099998474121094,4940000,Africa
35,Angola,1955,3510.0,37.70000076293945,5040000,Africa
36,Angola,1956,3400.0,38.29999923706055,5140000,Africa
37,Angola,1957,3670.0,38.79999923706055,5230000,Africa
38,Angola,1958,3810.0,39.400001525878906,5310000,Africa
39,Angola,1959,3770.0,40.0,5380000,Africa
40,Angola,1960,3860.0,40.599998474121094,5450000,Africa
41,Angola,1961,4310.0,41.099998474121094,5530000,Africa
42,Angola,1962,4130.0,41.70000076293945,5610000,Africa
43,Angola,1963,4280.0,42.29999923706055,5680000,Africa
44,Angola,1964,4700.0,42.900001525878906,5730000,Africa
45,Angola,1965,4970.0,43.5,5770000,Africa
46,Angola,1966,5190.0,44.099998474121094,5780000,Africa
47,Angola,1967,5410.0,44.70000076293945,5770000,Africa
48,Angola,1968,5250.0,45.29999923706055,5770000,Africa
49,Angola,1969,5320.0,45.900001525878906,5800000,Africa
50,Angola,1970,5570.0,46.5,5890000,Africa
51,Angola,1971,5790.0,46.70000076293945,6040000,Africa
52,Angola,1972,5690.0,46.900001525878906,6250000,Africa
53,Angola,1973,6010.0,47.099998474121094,6500000,Africa
54,Angola,1974,6060.0,47.29999923706055,6760000,Africa
55,Angola,1975,5620.0,47.20000076293945,7020000,Africa
56,Angola,1976,5010.0,47.20000076293945,7280000,Africa
57,Angola,1977,4960.0,47.29999923706055,7530000,Africa
58,Angola,1978,5070.0,47.400001525878906,7790000,Africa
59,Angola,1979,5080.0,47.5,8060000,Africa
60,Angola,1980,5110.0,47.599998474121094,8340000,Africa
61,Angola,1981,4930.0,47.70000076293945,8640000,Africa
62,Angola,1982,4610.0,47.70000076293945,8950000,Africa
63,Angola,1983,4340.0,47.70000076293945,9280000,Africa
64,Angola,1984,4260.0,47.79999923706055,9610000,Africa
65,Angola,1985,4210.0,47.900001525878906,9960000,Africa
66,Angola,1986,3760.0,47.900001525878906,10300000,Africa
67,Angola,1987,4130.0,47.70000076293945,10700000,Africa
68,Angola,1988,4650.0,47.5,11100000,Africa
69,Angola,1989,4670.0,47.79999923706055,11500000,Africa
70,Angola,1990,4760.0,47.900001525878906,11800000,Africa
71,Angola,1991,4650.0,48.5,12200000,Africa
72,Angola,1992,4240.0,48.599998474121094,12700000,Africa
73,Angola,1993,3120.0,47.29999923706055,13100000,Africa
74,Angola,1994,3060.0,48.70000076293945,13500000,Africa
75,Angola,1995,3410.0,49.5,13900000,Africa
76,Angola,1996,3750.0,50.099998474121094,14400000,Africa
77,Angola,1997,3890.0,50.20000076293945,14900000,Africa
78,Angola,1998,3950.0,49.29999923706055,15400000,Africa
79,Angola,1999,3900.0,50.70000076293945,15900000,Africa
80,Angola,2000,3890.0,51.70000076293945,16400000,Africa
81,Angola,2001,3920.0,52.400001525878906,16900000,Africa
82,Angola,2002,4320.0,53.5,17500000,Africa
83,Angola,2003,4300.0,54.20000076293945,18100000,Africa
84,Angola,2004,4610.0,54.79999923706055,18800000,Africa
85,Angola,2005,5110.0,55.70000076293945,19400000,Africa
86,Angola,2006,5500.0,56.400001525878906,20100000,Africa
87,Angola,2007,6040.0,57.5,20900000,Africa
88,Angola,2008,6470.0,58.400001525878906,21700000,Africa
89,Angola,2009,6290.0,59.099998474121094,22500000,Africa
90,Angola,2010,6360.0,59.900001525878906,23400000,Africa
91,Angola,2011,6350.0,60.599998474121094,24200000,Africa
92,Angola,2012,6650.0,61.29999923706055,25100000,Africa
93,Angola,2013,6730.0,61.900001525878906,26000000,Africa
94,Angola,2014,6810.0,62.79999923706055,26900000,Africa
95,Angola,2015,6650.0,63.29999923706055,27900000,Africa
96,Angola,2016,6260.0,63.79999923706055,28800000,Africa
97,Angola,2017,6050.0,64.19999694824219,29800000,Africa
98,Angola,2018,5730.0,64.5999984741211,30800000,Africa
99,Angola,2019,5540.0,65.0,31800000,Africa
100,Angola,2020,5440.0,65.4000015258789,32900000,Africa
