,pais,ano,pib,expecVida,populacao,continente
0,Armenia,1920,531.0,27.0,1010000,Asia
1,Armenia,1921,504.0,36.70000076293945,1020000,Asia
2,Armenia,1922,547.0,37.599998474121094,1030000,Asia
3,Armenia,1923,593.0,38.400001525878906,1040000,Asia
4,Armenia,1924,642.0,40.79999923706055,1050000,Asia
5,Armenia,1925,696.0,39.900001525878906,1060000,Asia
6,Armenia,1926,755.0,42.900001525878906,1070000,Asia
7,Armenia,1927,819.0,42.29999923706055,1080000,Asia
8,Armenia,1928,887.0,43.70000076293945,1090000,Asia
9,Armenia,1929,962.0,42.5,1100000,Asia
10,Armenia,1930,1000.0,41.79999923706055,1110000,Asia
11,Armenia,1931,1010.0,40.20000076293945,1120000,Asia
12,Armenia,1932,991.0,37.79999923706055,1130000,Asia
13,Armenia,1933,1030.0,31.600000381469727,1140000,Asia
14,Armenia,1934,1120.0,43.900001525878906,1150000,Asia
15,Armenia,1935,1270.0,45.400001525878906,1160000,Asia
16,Armenia,1936,1360.0,46.900001525878906,1170000,Asia
17,Armenia,1937,1470.0,46.0,1190000,Asia
18,Armenia,1938,1460.0,47.5,1200000,Asia
19,Armenia,1939,1510.0,49.79999923706055,1210000,Asia
20,Armenia,1940,1450.0,47.400001525878906,1220000,Asia
21,Armenia,1941,1410.0,26.600000381469727,1230000,Asia
22,Armenia,1942,1380.0,23.299999237060547,1240000,Asia
23,Armenia,1943,1350.0,21.399999618530273,1250000,Asia
24,Armenia,1944,1340.0,28.5,1260000,Asia
25,Armenia,1945,1330.0,37.5,1270000,Asia
26,Armenia,1946,1310.0,53.79999923706055,1290000,Asia
27,Armenia,1947,1470.0,46.20000076293945,1300000,Asia
28,Armenia,1948,1670.0,53.79999923706055,1310000,Asia
29,Armenia,1949,1840.0,56.400001525878906,1330000,Asia
30,Armenia,1950,2010.0,58.5,1350000,Asia
31,Armenia,1951,2000.0,58.70000076293945,1380000,Asia
32,Armenia,1952,2110.0,59.0,1420000,Asia
33,Armenia,1953,2180.0,59.400001525878906,1460000,Asia
34,Armenia,1954,2270.0,59.79999923706055,1510000,Asia
35,Armenia,1955,2440.0,60.099998474121094,1560000,Asia
36,Armenia,1956,2640.0,60.5,1620000,Asia
37,Armenia,1957,2670.0,60.79999923706055,1680000,Asia
38,Armenia,1958,2840.0,61.20000076293945,1740000,Asia
39,Armenia,1959,2780.0,61.5,1810000,Asia
40,Armenia,1960,3000.0,61.900001525878906,1870000,Asia
41,Armenia,1961,3120.0,62.20000076293945,1940000,Asia
42,Armenia,1962,3150.0,62.599998474121094,2010000,Asia
43,Armenia,1963,3030.0,62.900001525878906,2080000,Asia
44,Armenia,1964,3380.0,63.29999923706055,2150000,Asia
45,Armenia,1965,3520.0,63.70000076293945,2210000,Asia
46,Armenia,1966,3650.0,64.0,2280000,Asia
47,Armenia,1967,3770.0,64.4000015258789,2340000,Asia
48,Armenia,1968,3950.0,64.69999694824219,2400000,Asia
49,Armenia,1969,3960.0,65.0,2460000,Asia
50,Armenia,1970,4220.0,65.30000305175781,2530000,Asia
51,Armenia,1971,4280.0,65.9000015258789,2590000,Asia
52,Armenia,1972,4260.0,66.4000015258789,2650000,Asia
53,Armenia,1973,4560.0,66.9000015258789,2710000,Asia
54,Armenia,1974,4480.0,67.4000015258789,2770000,Asia
55,Armenia,1975,4400.0,67.80000305175781,2830000,Asia
56,Armenia,1976,4330.0,68.30000305175781,2890000,Asia
57,Armenia,1977,4250.0,68.69999694824219,2940000,Asia
58,Armenia,1978,4170.0,69.0,3000000,Asia
59,Armenia,1979,4100.0,69.19999694824219,3050000,Asia
60,Armenia,1980,4020.0,69.4000015258789,3100000,Asia
