,pais,ano,pib,expecVida,populacao,continente
0,Bahamas,1920,3480.0,35.0,58500,Americas
1,Bahamas,1921,3600.0,35.0,58800,Americas
2,Bahamas,1922,3740.0,35.79999923706055,59300,Americas
3,Bahamas,1923,3880.0,36.70000076293945,60100,Americas
4,Bahamas,1924,4020.0,37.5,60800,Americas
5,Bahamas,1925,4170.0,38.29999923706055,61600,Americas
6,Bahamas,1926,4320.0,39.099998474121094,62300,Americas
7,Bahamas,1927,4480.0,39.900001525878906,63100,Americas
8,Bahamas,1928,4650.0,40.79999923706055,63900,Americas
9,Bahamas,1929,4820.0,41.599998474121094,64700,Americas
10,Bahamas,1930,5000.0,42.400001525878906,65600,Americas
11,Bahamas,1931,5180.0,43.20000076293945,66500,Americas
12,Bahamas,1932,5380.0,44.0,67400,Americas
13,Bahamas,1933,5570.0,44.900001525878906,68300,Americas
14,Bahamas,1934,5780.0,45.70000076293945,69300,Americas
15,Bahamas,1935,5990.0,46.5,70300,Americas
16,Bahamas,1936,6220.0,47.29999923706055,71200,Americas
17,Bahamas,1937,6450.0,48.099998474121094,72200,Americas
18,Bahamas,1938,6680.0,49.0,73300,Americas
19,Bahamas,1939,6930.0,49.79999923706055,74100,Americas
20,Bahamas,1940,7190.0,50.599998474121094,74800,Americas
21,Bahamas,1941,7510.0,51.400001525878906,75300,Americas
22,Bahamas,1942,7840.0,52.20000076293945,75600,Americas
23,Bahamas,1943,8190.0,53.0,75800,Americas
24,Bahamas,1944,8550.0,53.900001525878906,76000,Americas
25,Bahamas,1945,8920.0,54.70000076293945,76100,Americas
26,Bahamas,1946,9320.0,55.5,76300,Americas
27,Bahamas,1947,9730.0,56.29999923706055,76500,Americas
28,Bahamas,1948,10200.0,57.099998474121094,76600,Americas
29,Bahamas,1949,10600.0,58.0,77500,Americas
30,Bahamas,1950,11100.0,58.79999923706055,79100,Americas
31,Bahamas,1951,11600.0,59.0,80000,Americas
32,Bahamas,1952,12100.0,59.400001525878906,81400,Americas
33,Bahamas,1953,12600.0,59.79999923706055,83400,Americas
34,Bahamas,1954,13100.0,60.20000076293945,85800,Americas
35,Bahamas,1955,13700.0,60.599998474121094,88600,Americas
36,Bahamas,1956,14300.0,61.0,91900,Americas
37,Bahamas,1957,14900.0,61.29999923706055,95600,Americas
38,Bahamas,1958,15600.0,61.70000076293945,99800,Americas
39,Bahamas,1959,16300.0,62.0,104000,Americas
40,Bahamas,1960,17000.0,62.400001525878906,110000,Americas
41,Bahamas,1961,18000.0,62.70000076293945,115000,Americas
42,Bahamas,1962,19000.0,63.0,121000,Americas
43,Bahamas,1963,20100.0,63.400001525878906,127000,Americas
44,Bahamas,1964,21400.0,63.70000076293945,134000,Americas
45,Bahamas,1965,22700.0,64.0,140000,Americas
46,Bahamas,1966,23900.0,64.30000305175781,146000,Americas
47,Bahamas,1967,25300.0,64.5,153000,Americas
48,Bahamas,1968,26600.0,64.80000305175781,159000,Americas
49,Bahamas,1969,28200.0,65.0999984741211,164000,Americas
50,Bahamas,1970,26000.0,65.4000015258789,169000,Americas
51,Bahamas,1971,25700.0,65.80000305175781,174000,Americas
52,Bahamas,1972,24300.0,66.19999694824219,178000,Americas
53,Bahamas,1973,25600.0,66.80000305175781,182000,Americas
54,Bahamas,1974,20900.0,67.19999694824219,185000,Americas
55,Bahamas,1975,17500.0,67.30000305175781,189000,Americas
56,Bahamas,1976,18000.0,67.69999694824219,193000,Americas
57,Bahamas,1977,19300.0,67.9000015258789,197000,Americas
58,Bahamas,1978,21500.0,68.0999984741211,201000,Americas
59,Bahamas,1979,26600.0,68.4000015258789,206000,Americas
60,Bahamas,1980,27700.0,68.5999984741211,211000,Americas
61,Bahamas,1981,24600.0,68.9000015258789,215000,Americas
62,Bahamas,1982,25700.0,69.19999694824219,220000,Americas
63,Bahamas,1983,26100.0,69.5,225000,Americas
64,Bahamas,1984,29100.0,69.80000305175781,230000,Americas
65,Bahamas,1985,30000.0,69.80000305175781,235000,Americas
66,Bahamas,1986,30000.0,69.9000015258789,239000,Americas
67,Bahamas,1987,30300.0,70.19999694824219,243000,Americas
68,Bahamas,1988,30500.0,70.5,247000,Americas
69,Bahamas,1989,32000.0,70.9000015258789,252000,Americas
70,Bahamas,1990,31000.0,71.0999984741211,256000,Americas
71,Bahamas,1991,29200.0,71.30000305175781,261000,Americas
72,Bahamas,1992,27500.0,71.19999694824219,266000,Americas
73,Bahamas,1993,27100.0,71.0,271000,Americas
74,Bahamas,1994,27500.0,70.80000305175781,276000,Americas
75,Bahamas,1995,28200.0,70.80000305175781,280000,Americas
76,Bahamas,1996,29000.0,70.5,284000,Americas
77,Bahamas,1997,29300.0,71.30000305175781,287000,Americas
78,Bahamas,1998,30300.0,71.80000305175781,291000,Americas
79,Bahamas,1999,32100.0,71.0999984741211,294000,Americas
80,Bahamas,2000,33000.0,71.5,298000,Americas
81,Bahamas,2001,33300.0,71.5999984741211,303000,Americas
82,Bahamas,2002,33700.0,72.4000015258789,308000,Americas
83,Bahamas,2003,32700.0,72.9000015258789,313000,Americas
84,Bahamas,2004,32400.0,72.9000015258789,319000,Americas
85,Bahamas,2005,32800.0,73.4000015258789,325000,Americas
86,Bahamas,2006,33000.0,73.0,331000,Americas
87,Bahamas,2007,32900.0,73.5,337000,Americas
88,Bahamas,2008,31500.0,73.5,344000,Americas
89,Bahamas,2009,29700.0,73.30000305175781,350000,Americas
90,Bahamas,2010,29700.0,73.4000015258789,355000,Americas
91,Bahamas,2011,29500.0,73.4000015258789,360000,Americas
92,Bahamas,2012,30100.0,73.4000015258789,364000,Americas
93,Bahamas,2013,29700.0,73.5,367000,Americas
94,Bahamas,2014,29300.0,73.5,371000,Americas
95,Bahamas,2015,29400.0,73.30000305175781,374000,Americas
96,Bahamas,2016,28600.0,73.5999984741211,378000,Americas
97,Bahamas,2017,28700.0,73.69999694824219,382000,Americas
98,Bahamas,2018,28800.0,73.9000015258789,386000,Americas
99,Bahamas,2019,28800.0,74.0999984741211,389000,Americas
100,Bahamas,2020,28300.0,74.19999694824219,393000,Americas
