,pais,ano,pib,expecVida,populacao,continente
0,Bangladesh,1920,1060.0,23.0,27300000,Asia
1,Bangladesh,1921,1130.0,23.100000381469727,27400000,Asia
2,Bangladesh,1922,1170.0,23.299999237060547,27500000,Asia
3,Bangladesh,1923,1120.0,23.399999618530273,27600000,Asia
4,Bangladesh,1924,1170.0,23.600000381469727,27700000,Asia
5,Bangladesh,1925,1170.0,23.700000762939453,27900000,Asia
6,Bangladesh,1926,1200.0,23.899999618530273,28000000,Asia
7,Bangladesh,1927,1190.0,24.600000381469727,28100000,Asia
8,Bangladesh,1928,1190.0,25.299999237060547,28200000,Asia
9,Bangladesh,1929,1230.0,26.0,28400000,Asia
10,Bangladesh,1930,1230.0,26.700000762939453,28700000,Asia
11,Bangladesh,1931,1200.0,27.399999618530273,29100000,Asia
12,Bangladesh,1932,1200.0,28.0,29600000,Asia
13,Bangladesh,1933,1190.0,28.700000762939453,30200000,Asia
14,Bangladesh,1934,1190.0,29.399999618530273,30800000,Asia
15,Bangladesh,1935,1160.0,30.100000381469727,31400000,Asia
16,Bangladesh,1936,1190.0,30.799999237060547,32000000,Asia
17,Bangladesh,1937,1160.0,31.5,32700000,Asia
18,Bangladesh,1938,1140.0,32.20000076293945,33300000,Asia
19,Bangladesh,1939,1150.0,32.900001525878906,33900000,Asia
20,Bangladesh,1940,1180.0,33.5,34400000,Asia
21,Bangladesh,1941,1200.0,34.20000076293945,34900000,Asia
22,Bangladesh,1942,1190.0,32.0,35200000,Asia
23,Bangladesh,1943,1230.0,22.299999237060547,35500000,Asia
24,Bangladesh,1944,1220.0,24.600000381469727,35800000,Asia
25,Bangladesh,1945,1200.0,35.0,36100000,Asia
26,Bangladesh,1946,1130.0,40.599998474121094,36400000,Asia
27,Bangladesh,1947,1130.0,35.0,36700000,Asia
28,Bangladesh,1948,1140.0,36.400001525878906,37000000,Asia
29,Bangladesh,1949,1170.0,39.599998474121094,37400000,Asia
30,Bangladesh,1950,1120.0,40.400001525878906,37900000,Asia
31,Bangladesh,1951,1120.0,40.5,38700000,Asia
32,Bangladesh,1952,1140.0,40.79999923706055,39500000,Asia
33,Bangladesh,1953,1140.0,41.099998474121094,40300000,Asia
34,Bangladesh,1954,1130.0,41.400001525878906,41100000,Asia
35,Bangladesh,1955,1050.0,41.79999923706055,42100000,Asia
36,Bangladesh,1956,1140.0,42.099998474121094,43100000,Asia
37,Bangladesh,1957,1100.0,42.5,44200000,Asia
38,Bangladesh,1958,1060.0,43.0,45400000,Asia
39,Bangladesh,1959,1090.0,43.400001525878906,46700000,Asia
40,Bangladesh,1960,1130.0,43.900001525878906,48000000,Asia
41,Bangladesh,1961,1170.0,44.400001525878906,49400000,Asia
42,Bangladesh,1962,1140.0,45.0,50800000,Asia
43,Bangladesh,1963,1230.0,45.400001525878906,52200000,Asia
44,Bangladesh,1964,1220.0,45.900001525878906,53700000,Asia
45,Bangladesh,1965,1260.0,46.20000076293945,55400000,Asia
46,Bangladesh,1966,1260.0,46.20000076293945,57200000,Asia
47,Bangladesh,1967,1200.0,46.0,59000000,Asia
48,Bangladesh,1968,1290.0,45.5,60900000,Asia
49,Bangladesh,1969,1280.0,44.79999923706055,62700000,Asia
50,Bangladesh,1970,1310.0,44.099998474121094,64200000,Asia
51,Bangladesh,1971,1220.0,44.5,65500000,Asia
52,Bangladesh,1972,1050.0,52.20000076293945,66600000,Asia
53,Bangladesh,1973,1040.0,52.20000076293945,67600000,Asia
54,Bangladesh,1974,1140.0,51.599998474121094,68700000,Asia
55,Bangladesh,1975,1110.0,52.5,70100000,Asia
56,Bangladesh,1976,1130.0,52.70000076293945,71700000,Asia
57,Bangladesh,1977,1110.0,53.0,73500000,Asia
58,Bangladesh,1978,1150.0,53.29999923706055,75500000,Asia
59,Bangladesh,1979,1170.0,53.599998474121094,77500000,Asia
60,Bangladesh,1980,1150.0,54.0,79600000,Asia
61,Bangladesh,1981,1150.0,54.20000076293945,81800000,Asia
62,Bangladesh,1982,1140.0,54.5,83900000,Asia
63,Bangladesh,1983,1170.0,54.900001525878906,86100000,Asia
64,Bangladesh,1984,1210.0,55.400001525878906,88400000,Asia
65,Bangladesh,1985,1220.0,55.400001525878906,90800000,Asia
66,Bangladesh,1986,1240.0,56.400001525878906,93200000,Asia
67,Bangladesh,1987,1260.0,56.900001525878906,95700000,Asia
68,Bangladesh,1988,1270.0,57.20000076293945,98200000,Asia
69,Bangladesh,1989,1270.0,58.099998474121094,101000000,Asia
70,Bangladesh,1990,1330.0,58.29999923706055,103000000,Asia
71,Bangladesh,1991,1340.0,56.79999923706055,106000000,Asia
72,Bangladesh,1992,1380.0,60.099998474121094,108000000,Asia
73,Bangladesh,1993,1420.0,60.900001525878906,110000000,Asia
74,Bangladesh,1994,1440.0,61.70000076293945,113000000,Asia
75,Bangladesh,1995,1480.0,62.099998474121094,115000000,Asia
