,pais,ano,pib,expecVida,populacao,continente
0,Belarus,1920,585.0,30.200000762939453,5900000,Europe
1,Belarus,1921,535.0,33.5,5960000,Europe
2,Belarus,1922,621.0,34.400001525878906,6010000,Europe
3,Belarus,1923,715.0,43.20000076293945,6070000,Europe
4,Belarus,1924,906.0,45.70000076293945,6120000,Europe
5,Belarus,1925,1130.0,44.79999923706055,6180000,Europe
6,Belarus,1926,1270.0,48.0,6230000,Europe
7,Belarus,1927,1320.0,47.099998474121094,6290000,Europe
8,Belarus,1928,1390.0,48.70000076293945,6350000,Europe
9,Belarus,1929,1410.0,46.79999923706055,6410000,Europe
10,Belarus,1930,1470.0,46.70000076293945,6470000,Europe
11,Belarus,1931,1480.0,47.70000076293945,6520000,Europe
12,Belarus,1932,1460.0,39.0,6580000,Europe
13,Belarus,1933,1510.0,25.799999237060547,6650000,Europe
14,Belarus,1934,1650.0,41.79999923706055,6710000,Europe
15,Belarus,1935,1890.0,51.5,6770000,Europe
16,Belarus,1936,2020.0,52.20000076293945,6830000,Europe
17,Belarus,1937,2180.0,51.0,6890000,Europe
18,Belarus,1938,2170.0,52.20000076293945,6960000,Europe
19,Belarus,1939,2260.0,52.0,7020000,Europe
20,Belarus,1940,2170.0,51.79999923706055,7080000,Europe
21,Belarus,1941,2130.0,19.799999237060547,7150000,Europe
22,Belarus,1942,2080.0,14.899999618530273,7210000,Europe
23,Belarus,1943,2040.0,13.899999618530273,7280000,Europe
24,Belarus,1944,2010.0,20.799999237060547,7350000,Europe
25,Belarus,1945,1970.0,29.700000762939453,7420000,Europe
26,Belarus,1946,1930.0,57.099998474121094,7480000,Europe
27,Belarus,1947,2140.0,47.20000076293945,7550000,Europe
28,Belarus,1948,2420.0,59.70000076293945,7620000,Europe
29,Belarus,1949,2640.0,62.5,7690000,Europe
30,Belarus,1950,2860.0,64.4000015258789,7750000,Europe
31,Belarus,1951,2820.0,64.5999984741211,7700000,Europe
32,Belarus,1952,2950.0,65.0,7680000,Europe
33,Belarus,1953,3030.0,65.5,7680000,Europe
