,pais,ano,pib,expecVida,populacao,continente
0,Bhutan,1920,769.0,33.400001525878906,259000,Asia
1,Bhutan,1921,771.0,33.5,259000,Asia
2,Bhutan,1922,774.0,33.599998474121094,259000,Asia
3,Bhutan,1923,776.0,33.70000076293945,259000,Asia
4,Bhutan,1924,779.0,33.79999923706055,259000,Asia
5,Bhutan,1925,782.0,33.900001525878906,259000,Asia
6,Bhutan,1926,784.0,34.0,259000,Asia
7,Bhutan,1927,787.0,34.099998474121094,259000,Asia
8,Bhutan,1928,789.0,34.20000076293945,259000,Asia
9,Bhutan,1929,792.0,34.29999923706055,259000,Asia
10,Bhutan,1930,795.0,34.400001525878906,259000,Asia
11,Bhutan,1931,797.0,34.400001525878906,259000,Asia
12,Bhutan,1932,800.0,34.5,259000,Asia
13,Bhutan,1933,803.0,34.599998474121094,259000,Asia
14,Bhutan,1934,805.0,34.70000076293945,259000,Asia
15,Bhutan,1935,808.0,34.79999923706055,259000,Asia
16,Bhutan,1936,811.0,34.900001525878906,259000,Asia
17,Bhutan,1937,813.0,35.0,259000,Asia
18,Bhutan,1938,816.0,35.099998474121094,259000,Asia
19,Bhutan,1939,818.0,35.20000076293945,257000,Asia
20,Bhutan,1940,821.0,35.29999923706055,252000,Asia
21,Bhutan,1941,824.0,35.400001525878906,246000,Asia
22,Bhutan,1942,827.0,35.5,238000,Asia
23,Bhutan,1943,829.0,35.5,228000,Asia
24,Bhutan,1944,832.0,35.599998474121094,219000,Asia
25,Bhutan,1945,835.0,35.70000076293945,210000,Asia
26,Bhutan,1946,837.0,35.79999923706055,201000,Asia
27,Bhutan,1947,840.0,35.900001525878906,193000,Asia
28,Bhutan,1948,843.0,36.0,185000,Asia
29,Bhutan,1949,845.0,36.099998474121094,180000,Asia
30,Bhutan,1950,848.0,36.20000076293945,177000,Asia
31,Bhutan,1951,858.0,36.5,181000,Asia
32,Bhutan,1952,868.0,37.099998474121094,185000,Asia
33,Bhutan,1953,878.0,37.599998474121094,189000,Asia
34,Bhutan,1954,888.0,38.20000076293945,193000,Asia
