,pais,ano,pib,expecVida,populacao,continente
0,Bosnia and Herzegovina,1920,1140.0,35.5,2110000,Europe
1,Bosnia and Herzegovina,1921,1140.0,36.099998474121094,2130000,Europe
2,Bosnia and Herzegovina,1922,1140.0,36.70000076293945,2140000,Europe
3,Bosnia and Herzegovina,1923,1180.0,37.20000076293945,2160000,Europe
4,Bosnia and Herzegovina,1924,1250.0,37.79999923706055,2170000,Europe
5,Bosnia and Herzegovina,1925,1290.0,38.400001525878906,2190000,Europe
6,Bosnia and Herzegovina,1926,1360.0,38.900001525878906,2210000,Europe
7,Bosnia and Herzegovina,1927,1320.0,39.5,2220000,Europe
8,Bosnia and Herzegovina,1928,1410.0,40.0,2240000,Europe
9,Bosnia and Herzegovina,1929,1470.0,40.599998474121094,2260000,Europe
10,Bosnia and Herzegovina,1930,1420.0,41.20000076293945,2270000,Europe
11,Bosnia and Herzegovina,1931,1350.0,41.70000076293945,2290000,Europe
12,Bosnia and Herzegovina,1932,1210.0,42.29999923706055,2310000,Europe
13,Bosnia and Herzegovina,1933,1230.0,42.79999923706055,2330000,Europe
14,Bosnia and Herzegovina,1934,1250.0,43.400001525878906,2340000,Europe
15,Bosnia and Herzegovina,1935,1210.0,44.0,2360000,Europe
16,Bosnia and Herzegovina,1936,1350.0,44.5,2380000,Europe
17,Bosnia and Herzegovina,1937,1350.0,45.099998474121094,2400000,Europe
18,Bosnia and Herzegovina,1938,1440.0,45.70000076293945,2410000,Europe
19,Bosnia and Herzegovina,1939,1490.0,46.20000076293945,2430000,Europe
20,Bosnia and Herzegovina,1940,1470.0,46.79999923706055,2450000,Europe
21,Bosnia and Herzegovina,1941,1460.0,31.899999618530273,2470000,Europe
22,Bosnia and Herzegovina,1942,1440.0,28.0,2490000,Europe
23,Bosnia and Herzegovina,1943,1420.0,24.299999237060547,2510000,Europe
24,Bosnia and Herzegovina,1944,1410.0,22.200000762939453,2530000,Europe
25,Bosnia and Herzegovina,1945,1390.0,26.399999618530273,2540000,Europe
26,Bosnia and Herzegovina,1946,1370.0,41.79999923706055,2560000,Europe
27,Bosnia and Herzegovina,1947,1360.0,50.0,2580000,Europe
28,Bosnia and Herzegovina,1948,1590.0,51.0,2600000,Europe
29,Bosnia and Herzegovina,1949,1720.0,51.70000076293945,2630000,Europe
30,Bosnia and Herzegovina,1950,1580.0,52.5,2660000,Europe
31,Bosnia and Herzegovina,1951,1620.0,53.099998474121094,2710000,Europe
