,pais,ano,pib,expecVida,populacao,continente
0,Botswana,1920,658.0,33.900001525878906,227000,Africa
1,Botswana,1921,663.0,33.900001525878906,231000,Africa
2,Botswana,1922,668.0,33.900001525878906,236000,Africa
3,Botswana,1923,674.0,33.900001525878906,241000,Africa
4,Botswana,1924,679.0,33.900001525878906,246000,Africa
5,Botswana,1925,685.0,33.900001525878906,251000,Africa
6,Botswana,1926,690.0,33.900001525878906,256000,Africa
7,Botswana,1927,696.0,33.900001525878906,262000,Africa
8,Botswana,1928,701.0,34.0,267000,Africa
9,Botswana,1929,707.0,34.0,273000,Africa
10,Botswana,1930,713.0,34.0,278000,Africa
11,Botswana,1931,719.0,34.0,284000,Africa
12,Botswana,1932,724.0,34.0,290000,Africa
13,Botswana,1933,730.0,34.0,296000,Africa
14,Botswana,1934,736.0,34.0,302000,Africa
15,Botswana,1935,742.0,34.0,308000,Africa
16,Botswana,1936,748.0,34.0,314000,Africa
17,Botswana,1937,754.0,34.0,320000,Africa
18,Botswana,1938,760.0,34.0,327000,Africa
19,Botswana,1939,766.0,34.0,333000,Africa
20,Botswana,1940,772.0,34.0,340000,Africa
21,Botswana,1941,774.0,34.0,346000,Africa
22,Botswana,1942,774.0,34.0,353000,Africa
23,Botswana,1943,775.0,34.0,360000,Africa
24,Botswana,1944,775.0,34.0,367000,Africa
25,Botswana,1945,776.0,34.0,374000,Africa
26,Botswana,1946,776.0,36.70000076293945,381000,Africa
27,Botswana,1947,777.0,39.400001525878906,388000,Africa
28,Botswana,1948,777.0,42.099998474121094,396000,Africa
29,Botswana,1949,778.0,44.79999923706055,404000,Africa
30,Botswana,1950,779.0,47.5,413000,Africa
31,Botswana,1951,793.0,47.70000076293945,424000,Africa
32,Botswana,1952,803.0,48.099998474121094,435000,Africa
33,Botswana,1953,817.0,48.599998474121094,445000,Africa
34,Botswana,1954,831.0,49.0,455000,Africa
35,Botswana,1955,843.0,49.400001525878906,463000,Africa
36,Botswana,1956,855.0,49.79999923706055,471000,Africa
37,Botswana,1957,866.0,50.29999923706055,479000,Africa
38,Botswana,1958,876.0,50.70000076293945,486000,Africa
39,Botswana,1959,891.0,51.099998474121094,494000,Africa
40,Botswana,1960,899.0,51.5,503000,Africa
41,Botswana,1961,916.0,51.79999923706055,513000,Africa
42,Botswana,1962,929.0,52.20000076293945,524000,Africa
43,Botswana,1963,944.0,52.599998474121094,536000,Africa
44,Botswana,1964,963.0,52.900001525878906,548000,Africa
45,Botswana,1965,978.0,53.29999923706055,560000,Africa
46,Botswana,1966,1060.0,53.70000076293945,572000,Africa
47,Botswana,1967,1150.0,54.099998474121094,584000,Africa
48,Botswana,1968,1250.0,54.599998474121094,597000,Africa
49,Botswana,1969,1350.0,55.099998474121094,611000,Africa
50,Botswana,1970,1450.0,55.70000076293945,628000,Africa
51,Botswana,1971,1780.0,56.29999923706055,646000,Africa
52,Botswana,1972,2180.0,56.900001525878906,667000,Africa
53,Botswana,1973,2550.0,57.5,690000,Africa
54,Botswana,1974,2660.0,58.099998474121094,715000,Africa
55,Botswana,1975,2750.0,58.599998474121094,741000,Africa
56,Botswana,1976,2890.0,59.099998474121094,770000,Africa
57,Botswana,1977,3030.0,59.599998474121094,801000,Africa
58,Botswana,1978,3220.0,60.0,832000,Africa
59,Botswana,1979,3510.0,60.29999923706055,865000,Africa
60,Botswana,1980,3770.0,60.79999923706055,898000,Africa
61,Botswana,1981,4070.0,61.29999923706055,930000,Africa
62,Botswana,1982,4250.0,61.70000076293945,963000,Africa
63,Botswana,1983,4580.0,62.099998474121094,996000,Africa
64,Botswana,1984,5030.0,62.5,1030000,Africa
65,Botswana,1985,5320.0,63.0,1070000,Africa
66,Botswana,1986,5530.0,63.400001525878906,1110000,Africa
67,Botswana,1987,5810.0,63.79999923706055,1150000,Africa
68,Botswana,1988,6320.0,63.900001525878906,1200000,Africa
69,Botswana,1989,8180.0,63.900001525878906,1240000,Africa
70,Botswana,1990,8500.0,63.5,1290000,Africa
71,Botswana,1991,8860.0,63.0,1330000,Africa
72,Botswana,1992,8870.0,62.29999923706055,1360000,Africa
73,Botswana,1993,8810.0,61.599998474121094,1400000,Africa
74,Botswana,1994,8910.0,60.79999923706055,1430000,Africa
75,Botswana,1995,9310.0,59.900001525878906,1470000,Africa
76,Botswana,1996,9620.0,59.0,1500000,Africa
77,Botswana,1997,10200.0,57.900001525878906,1540000,Africa
78,Botswana,1998,9990.0,56.599998474121094,1580000,Africa
79,Botswana,1999,10700.0,55.29999923706055,1610000,Africa
80,Botswana,2000,10700.0,54.0,1640000,Africa
81,Botswana,2001,10500.0,52.79999923706055,1670000,Africa
82,Botswana,2002,11000.0,51.900001525878906,1700000,Africa
83,Botswana,2003,11300.0,51.400001525878906,1730000,Africa
84,Botswana,2004,11400.0,51.599998474121094,1770000,Africa
85,Botswana,2005,11700.0,52.70000076293945,1800000,Africa
86,Botswana,2006,12400.0,54.20000076293945,1840000,Africa
87,Botswana,2007,13200.0,55.79999923706055,1880000,Africa
88,Botswana,2008,13700.0,57.0,1920000,Africa
89,Botswana,2009,12400.0,58.400001525878906,1950000,Africa
90,Botswana,2010,13200.0,60.20000076293945,1990000,Africa
91,Botswana,2011,13800.0,61.599998474121094,2020000,Africa
92,Botswana,2012,14300.0,63.20000076293945,2040000,Africa
93,Botswana,2013,15700.0,64.5,2060000,Africa
94,Botswana,2014,16200.0,65.80000305175781,2090000,Africa
95,Botswana,2015,15700.0,66.9000015258789,2120000,Africa
96,Botswana,2016,16000.0,68.0999984741211,2160000,Africa
97,Botswana,2017,16200.0,69.0999984741211,2210000,Africa
98,Botswana,2018,16500.0,69.5,2250000,Africa
99,Botswana,2019,16800.0,69.80000305175781,2300000,Africa
100,Botswana,2020,17200.0,70.0,2350000,Africa
