,pais,ano,pib,expecVida,populacao,continente
0,Bulgaria,1920,1760.0,44.400001525878906,5090000,Europe
1,Bulgaria,1921,1740.0,44.5,5170000,Europe
2,Bulgaria,1922,1750.0,44.5,5250000,Europe
3,Bulgaria,1923,1770.0,44.599998474121094,5340000,Europe
4,Bulgaria,1924,1780.0,44.79999923706055,5440000,Europe
5,Bulgaria,1925,2130.0,45.099998474121094,5530000,Europe
6,Bulgaria,1926,2160.0,45.29999923706055,5630000,Europe
7,Bulgaria,1927,2050.0,46.0,5730000,Europe
8,Bulgaria,1928,2110.0,46.79999923706055,5830000,Europe
9,Bulgaria,1929,2130.0,47.5,5920000,Europe
10,Bulgaria,1930,2210.0,48.29999923706055,6000000,Europe
11,Bulgaria,1931,2230.0,48.79999923706055,6080000,Europe
12,Bulgaria,1932,2120.0,49.29999923706055,6150000,Europe
13,Bulgaria,1933,2270.0,49.79999923706055,6210000,Europe
14,Bulgaria,1934,2050.0,50.29999923706055,6280000,Europe
15,Bulgaria,1935,2170.0,50.79999923706055,6340000,Europe
16,Bulgaria,1936,2410.0,51.29999923706055,6400000,Europe
17,Bulgaria,1937,2630.0,51.79999923706055,6470000,Europe
18,Bulgaria,1938,2610.0,52.0,6530000,Europe
19,Bulgaria,1939,2910.0,52.29999923706055,6600000,Europe
20,Bulgaria,1940,2930.0,52.5,6660000,Europe
21,Bulgaria,1941,2600.0,52.70000076293945,6720000,Europe
22,Bulgaria,1942,2510.0,52.0,6780000,Europe
23,Bulgaria,1943,2560.0,51.5,6840000,Europe
24,Bulgaria,1944,2270.0,50.0,6900000,Europe
25,Bulgaria,1945,1860.0,52.0,6950000,Europe
26,Bulgaria,1946,2030.0,53.599998474121094,7010000,Europe
27,Bulgaria,1947,2220.0,54.099998474121094,7070000,Europe
28,Bulgaria,1948,2410.0,55.79999923706055,7130000,Europe
29,Bulgaria,1949,2630.0,57.900001525878906,7190000,Europe
30,Bulgaria,1950,2870.0,61.400001525878906,7250000,Europe
31,Bulgaria,1951,3460.0,60.599998474121094,7310000,Europe
32,Bulgaria,1952,3290.0,59.599998474121094,7370000,Europe
33,Bulgaria,1953,3620.0,64.0999984741211,7430000,Europe
34,Bulgaria,1954,3520.0,64.4000015258789,7500000,Europe
35,Bulgaria,1955,3730.0,64.80000305175781,7560000,Europe
36,Bulgaria,1956,3700.0,65.19999694824219,7630000,Europe
37,Bulgaria,1957,4050.0,66.5999984741211,7690000,Europe
38,Bulgaria,1958,4360.0,68.69999694824219,7750000,Europe
39,Bulgaria,1959,4660.0,66.5999984741211,7820000,Europe
40,Bulgaria,1960,5060.0,69.19999694824219,7890000,Europe
41,Bulgaria,1961,5330.0,70.19999694824219,7950000,Europe
42,Bulgaria,1962,5710.0,69.5,8020000,Europe
43,Bulgaria,1963,5910.0,70.30000305175781,8090000,Europe
44,Bulgaria,1964,6320.0,71.0999984741211,8160000,Europe
45,Bulgaria,1965,6640.0,71.30000305175781,8220000,Europe
46,Bulgaria,1966,7110.0,71.19999694824219,8280000,Europe
47,Bulgaria,1967,7430.0,70.4000015258789,8340000,Europe
48,Bulgaria,1968,7500.0,71.19999694824219,8400000,Europe
49,Bulgaria,1969,7800.0,70.4000015258789,8450000,Europe
50,Bulgaria,1970,8170.0,71.30000305175781,8510000,Europe
51,Bulgaria,1971,8380.0,71.19999694824219,8560000,Europe
52,Bulgaria,1972,8720.0,71.19999694824219,8610000,Europe
53,Bulgaria,1973,9010.0,71.4000015258789,8660000,Europe
54,Bulgaria,1974,9210.0,71.4000015258789,8700000,Europe
55,Bulgaria,1975,9910.0,71.5,8740000,Europe
56,Bulgaria,1976,10200.0,71.5,8770000,Europe
57,Bulgaria,1977,9990.0,71.30000305175781,8800000,Europe
58,Bulgaria,1978,10200.0,71.4000015258789,8830000,Europe
59,Bulgaria,1979,10600.0,71.5,8850000,Europe
60,Bulgaria,1980,10200.0,71.5,8880000,Europe
61,Bulgaria,1981,10400.0,71.5999984741211,8910000,Europe
62,Bulgaria,1982,10700.0,71.5,8930000,Europe
63,Bulgaria,1983,10500.0,71.5999984741211,8950000,Europe
64,Bulgaria,1984,10800.0,71.5999984741211,8970000,Europe
65,Bulgaria,1985,10400.0,71.5999984741211,8980000,Europe
66,Bulgaria,1986,10700.0,71.80000305175781,8970000,Europe
67,Bulgaria,1987,10700.0,71.80000305175781,8960000,Europe
68,Bulgaria,1988,10600.0,71.80000305175781,8940000,Europe
69,Bulgaria,1989,10300.0,71.80000305175781,8900000,Europe
70,Bulgaria,1990,9300.0,71.69999694824219,8840000,Europe
71,Bulgaria,1991,8600.0,71.9000015258789,8770000,Europe
72,Bulgaria,1992,8060.0,71.4000015258789,8680000,Europe
73,Bulgaria,1993,8000.0,71.5,8580000,Europe
74,Bulgaria,1994,8180.0,70.9000015258789,8470000,Europe
75,Bulgaria,1995,8450.0,71.0,8380000,Europe
76,Bulgaria,1996,8550.0,71.0,8290000,Europe
77,Bulgaria,1997,8510.0,70.4000015258789,8210000,Europe
78,Bulgaria,1998,9110.0,70.9000015258789,8140000,Europe
79,Bulgaria,1999,8390.0,71.5,8070000,Europe
80,Bulgaria,2000,8830.0,71.5999984741211,8000000,Europe
81,Bulgaria,2001,9350.0,71.9000015258789,7930000,Europe
82,Bulgaria,2002,10100.0,72.19999694824219,7870000,Europe
83,Bulgaria,2003,10700.0,72.4000015258789,7800000,Europe
84,Bulgaria,2004,11500.0,72.5,7740000,Europe
85,Bulgaria,2005,12400.0,72.5999984741211,7690000,Europe
86,Bulgaria,2006,13400.0,72.69999694824219,7630000,Europe
87,Bulgaria,2007,14500.0,73.0,7580000,Europe
88,Bulgaria,2008,15400.0,73.30000305175781,7520000,Europe
89,Bulgaria,2009,15000.0,73.5999984741211,7470000,Europe
90,Bulgaria,2010,15300.0,73.80000305175781,7430000,Europe
91,Bulgaria,2011,15700.0,74.0999984741211,7380000,Europe
92,Bulgaria,2012,15800.0,74.5,7330000,Europe
93,Bulgaria,2013,15900.0,74.80000305175781,7290000,Europe
94,Bulgaria,2014,16300.0,74.5,7250000,Europe
95,Bulgaria,2015,17000.0,74.80000305175781,7200000,Europe
96,Bulgaria,2016,17800.0,74.9000015258789,7150000,Europe
97,Bulgaria,2017,18600.0,74.9000015258789,7100000,Europe
98,Bulgaria,2018,19300.0,75.0,7050000,Europe
99,Bulgaria,2019,20200.0,75.0999984741211,7000000,Europe
100,Bulgaria,2020,20900.0,75.19999694824219,6950000,Europe
