,pais,ano,pib,expecVida,populacao,continente
0,Burundi,1920,467.0,32.0,1460000,Africa
1,Burundi,1921,469.0,28.5,1480000,Africa
2,Burundi,1922,470.0,24.899999618530273,1490000,Africa
3,Burundi,1923,472.0,32.099998474121094,1510000,Africa
4,Burundi,1924,473.0,32.099998474121094,1540000,Africa
5,Burundi,1925,475.0,28.5,1560000,Africa
6,Burundi,1926,476.0,26.5,1580000,Africa
7,Burundi,1927,478.0,25.0,1610000,Africa
8,Burundi,1928,479.0,26.5,1630000,Africa
9,Burundi,1929,481.0,26.5,1660000,Africa
10,Burundi,1930,482.0,32.20000076293945,1680000,Africa
11,Burundi,1931,484.0,32.20000076293945,1700000,Africa
12,Burundi,1932,485.0,32.20000076293945,1730000,Africa
13,Burundi,1933,487.0,32.20000076293945,1750000,Africa
14,Burundi,1934,488.0,32.20000076293945,1780000,Africa
15,Burundi,1935,490.0,32.20000076293945,1800000,Africa
16,Burundi,1936,491.0,32.20000076293945,1830000,Africa
17,Burundi,1937,493.0,32.20000076293945,1850000,Africa
18,Burundi,1938,494.0,32.20000076293945,1880000,Africa
19,Burundi,1939,496.0,32.29999923706055,1910000,Africa
20,Burundi,1940,497.0,32.29999923706055,1940000,Africa
21,Burundi,1941,501.0,32.29999923706055,1970000,Africa
22,Burundi,1942,504.0,32.29999923706055,2000000,Africa
23,Burundi,1943,509.0,30.899999618530273,2040000,Africa
24,Burundi,1944,513.0,17.899999618530273,2070000,Africa
25,Burundi,1945,516.0,32.29999923706055,2110000,Africa
26,Burundi,1946,521.0,33.79999923706055,2150000,Africa
27,Burundi,1947,524.0,35.20000076293945,2190000,Africa
28,Burundi,1948,528.0,36.599998474121094,2230000,Africa
29,Burundi,1949,532.0,38.099998474121094,2270000,Africa
30,Burundi,1950,536.0,39.5,2310000,Africa
31,Burundi,1951,556.0,39.70000076293945,2360000,Africa
32,Burundi,1952,564.0,40.0,2410000,Africa
33,Burundi,1953,577.0,40.29999923706055,2450000,Africa
34,Burundi,1954,598.0,40.599998474121094,2490000,Africa
35,Burundi,1955,606.0,41.0,2540000,Africa
36,Burundi,1956,618.0,41.29999923706055,2580000,Africa
37,Burundi,1957,631.0,41.599998474121094,2640000,Africa
38,Burundi,1958,637.0,41.900001525878906,2690000,Africa
39,Burundi,1959,662.0,42.29999923706055,2740000,Africa
40,Burundi,1960,660.0,42.599998474121094,2800000,Africa
41,Burundi,1961,554.0,42.900001525878906,2850000,Africa
42,Burundi,1962,591.0,43.29999923706055,2910000,Africa
43,Burundi,1963,606.0,43.599998474121094,2960000,Africa
44,Burundi,1964,626.0,43.900001525878906,3030000,Africa
45,Burundi,1965,634.0,44.29999923706055,3090000,Africa
46,Burundi,1966,646.0,44.5,3170000,Africa
47,Burundi,1967,689.0,44.79999923706055,3250000,Africa
48,Burundi,1968,668.0,45.0,3340000,Africa
49,Burundi,1969,648.0,45.20000076293945,3410000,Africa
50,Burundi,1970,807.0,45.400001525878906,3480000,Africa
51,Burundi,1971,817.0,45.599998474121094,3530000,Africa
52,Burundi,1972,783.0,18.5,3570000,Africa
53,Burundi,1973,835.0,45.79999923706055,3610000,Africa
54,Burundi,1974,818.0,45.900001525878906,3650000,Africa
55,Burundi,1975,801.0,45.900001525878906,3700000,Africa
56,Burundi,1976,867.0,46.0,3770000,Africa
57,Burundi,1977,925.0,46.29999923706055,3850000,Africa
58,Burundi,1978,947.0,46.5,3950000,Africa
59,Burundi,1979,919.0,46.79999923706055,4050000,Africa
60,Burundi,1980,865.0,47.0,4160000,Africa
61,Burundi,1981,922.0,47.29999923706055,4270000,Africa
62,Burundi,1982,898.0,47.599998474121094,4380000,Africa
63,Burundi,1983,902.0,47.900001525878906,4500000,Africa
64,Burundi,1984,881.0,48.099998474121094,4620000,Africa
65,Burundi,1985,964.0,48.29999923706055,4750000,Africa
66,Burundi,1986,983.0,48.400001525878906,4890000,Africa
67,Burundi,1987,999.0,48.599998474121094,5030000,Africa
68,Burundi,1988,1020.0,48.70000076293945,5170000,Africa
69,Burundi,1989,1020.0,48.70000076293945,5310000,Africa
70,Burundi,1990,1030.0,48.70000076293945,5440000,Africa
71,Burundi,1991,1050.0,48.5,5560000,Africa
72,Burundi,1992,1040.0,48.400001525878906,5690000,Africa
73,Burundi,1993,958.0,48.29999923706055,5800000,Africa
74,Burundi,1994,906.0,44.70000076293945,5900000,Africa
75,Burundi,1995,822.0,44.29999923706055,5990000,Africa
76,Burundi,1996,747.0,43.900001525878906,6060000,Africa
77,Burundi,1997,728.0,43.599998474121094,6120000,Africa
78,Burundi,1998,754.0,44.29999923706055,6190000,Africa
