,pais,ano,pib,expecVida,populacao,continente
0,Cambodia,1920,447.0,36.400001525878906,2930000,Asia
1,Cambodia,1921,448.0,36.400001525878906,2920000,Asia
2,Cambodia,1922,449.0,36.400001525878906,2900000,Asia
3,Cambodia,1923,449.0,36.400001525878906,2890000,Asia
4,Cambodia,1924,450.0,36.5,2880000,Asia
5,Cambodia,1925,451.0,36.5,2860000,Asia
6,Cambodia,1926,452.0,36.5,2850000,Asia
7,Cambodia,1927,453.0,36.5,2840000,Asia
8,Cambodia,1928,454.0,36.599998474121094,2830000,Asia
9,Cambodia,1929,455.0,36.599998474121094,2820000,Asia
10,Cambodia,1930,455.0,36.599998474121094,2820000,Asia
11,Cambodia,1931,456.0,36.70000076293945,2830000,Asia
12,Cambodia,1932,457.0,36.70000076293945,2850000,Asia
13,Cambodia,1933,458.0,36.70000076293945,2870000,Asia
14,Cambodia,1934,459.0,36.70000076293945,2890000,Asia
15,Cambodia,1935,460.0,36.79999923706055,2920000,Asia
16,Cambodia,1936,461.0,36.79999923706055,2940000,Asia
17,Cambodia,1937,461.0,36.79999923706055,2970000,Asia
18,Cambodia,1938,462.0,36.900001525878906,2990000,Asia
19,Cambodia,1939,463.0,36.900001525878906,3030000,Asia
20,Cambodia,1940,463.0,35.900001525878906,3100000,Asia
21,Cambodia,1941,464.0,35.5,3180000,Asia
22,Cambodia,1942,465.0,35.400001525878906,3290000,Asia
23,Cambodia,1943,466.0,35.29999923706055,3420000,Asia
24,Cambodia,1944,467.0,33.29999923706055,3550000,Asia
25,Cambodia,1945,468.0,29.600000381469727,3690000,Asia
26,Cambodia,1946,469.0,37.099998474121094,3830000,Asia
27,Cambodia,1947,469.0,38.400001525878906,3980000,Asia
28,Cambodia,1948,470.0,39.599998474121094,4140000,Asia
29,Cambodia,1949,471.0,41.0,4290000,Asia
30,Cambodia,1950,472.0,42.29999923706055,4430000,Asia
31,Cambodia,1951,476.0,42.400001525878906,4540000,Asia
32,Cambodia,1952,494.0,42.70000076293945,4660000,Asia
33,Cambodia,1953,487.0,43.0,4780000,Asia
34,Cambodia,1954,531.0,43.20000076293945,4910000,Asia
35,Cambodia,1955,507.0,43.400001525878906,5050000,Asia
36,Cambodia,1956,560.0,43.599998474121094,5180000,Asia
37,Cambodia,1957,582.0,43.70000076293945,5310000,Asia
38,Cambodia,1958,595.0,43.79999923706055,5440000,Asia
39,Cambodia,1959,636.0,44.0,5580000,Asia
40,Cambodia,1960,657.0,44.099998474121094,5720000,Asia
41,Cambodia,1961,633.0,44.29999923706055,5870000,Asia
42,Cambodia,1962,666.0,44.5,6030000,Asia
43,Cambodia,1963,697.0,44.70000076293945,6180000,Asia
44,Cambodia,1964,660.0,45.0,6330000,Asia
45,Cambodia,1965,673.0,45.20000076293945,6470000,Asia
46,Cambodia,1966,685.0,45.5,6590000,Asia
47,Cambodia,1967,702.0,45.70000076293945,6690000,Asia
48,Cambodia,1968,715.0,45.900001525878906,6780000,Asia
49,Cambodia,1969,707.0,45.70000076293945,6880000,Asia
50,Cambodia,1970,633.0,44.900001525878906,7000000,Asia
51,Cambodia,1971,602.0,45.20000076293945,7140000,Asia
52,Cambodia,1972,565.0,45.400001525878906,7300000,Asia
53,Cambodia,1973,761.0,45.400001525878906,7450000,Asia
54,Cambodia,1974,644.0,45.400001525878906,7530000,Asia
55,Cambodia,1975,567.0,24.899999618530273,7520000,Asia
56,Cambodia,1976,630.0,24.799999237060547,7400000,Asia
57,Cambodia,1977,702.0,24.600000381469727,7200000,Asia
58,Cambodia,1978,793.0,24.299999237060547,6960000,Asia
59,Cambodia,1979,813.0,24.100000381469727,6770000,Asia
60,Cambodia,1980,811.0,52.79999923706055,6690000,Asia
61,Cambodia,1981,798.0,53.099998474121094,6750000,Asia
62,Cambodia,1982,835.0,53.400001525878906,6920000,Asia
63,Cambodia,1983,867.0,53.70000076293945,7170000,Asia
64,Cambodia,1984,906.0,54.099998474121094,7450000,Asia
65,Cambodia,1985,946.0,54.400001525878906,7710000,Asia
66,Cambodia,1986,969.0,54.70000076293945,7960000,Asia
67,Cambodia,1987,916.0,56.599998474121094,8200000,Asia
68,Cambodia,1988,905.0,57.20000076293945,8440000,Asia
69,Cambodia,1989,894.0,57.29999923706055,8690000,Asia
70,Cambodia,1990,863.0,57.599998474121094,8980000,Asia
71,Cambodia,1991,896.0,58.0,9290000,Asia
72,Cambodia,1992,918.0,58.29999923706055,9620000,Asia
73,Cambodia,1993,912.0,58.400001525878906,9970000,Asia
74,Cambodia,1994,970.0,58.400001525878906,10300000,Asia
75,Cambodia,1995,1040.0,58.70000076293945,10700000,Asia
76,Cambodia,1996,1090.0,58.79999923706055,11000000,Asia
77,Cambodia,1997,1120.0,59.099998474121094,11300000,Asia
78,Cambodia,1998,1160.0,59.400001525878906,11600000,Asia
79,Cambodia,1999,1280.0,59.79999923706055,11900000,Asia
80,Cambodia,2000,1390.0,60.20000076293945,12200000,Asia
81,Cambodia,2001,1460.0,60.79999923706055,12400000,Asia
82,Cambodia,2002,1530.0,61.5,12600000,Asia
83,Cambodia,2003,1630.0,62.099998474121094,12900000,Asia
84,Cambodia,2004,1770.0,62.900001525878906,13100000,Asia
85,Cambodia,2005,1970.0,63.70000076293945,13300000,Asia
86,Cambodia,2006,2150.0,64.5,13500000,Asia
87,Cambodia,2007,2330.0,65.30000305175781,13700000,Asia
88,Cambodia,2008,2450.0,66.0,13900000,Asia
89,Cambodia,2009,2420.0,66.5999984741211,14100000,Asia
90,Cambodia,2010,2520.0,67.0999984741211,14300000,Asia
91,Cambodia,2011,2660.0,67.5999984741211,14500000,Asia
92,Cambodia,2012,2810.0,68.19999694824219,14800000,Asia
93,Cambodia,2013,2960.0,68.5999984741211,15000000,Asia
94,Cambodia,2014,3120.0,69.0,15300000,Asia
95,Cambodia,2015,3290.0,69.30000305175781,15500000,Asia
96,Cambodia,2016,3470.0,69.5999984741211,15800000,Asia
97,Cambodia,2017,3650.0,69.9000015258789,16000000,Asia
98,Cambodia,2018,3870.0,70.19999694824219,16200000,Asia
99,Cambodia,2019,4080.0,70.4000015258789,16500000,Asia
100,Cambodia,2020,4290.0,70.69999694824219,16700000,Asia
