,pais,ano,pib,expecVida,populacao,continente
0,Canada,1920,6530.0,56.599998474121094,8570000,Americas
1,Canada,1921,5680.0,57.0,8730000,Americas
2,Canada,1922,6420.0,57.0,8890000,Americas
3,Canada,1923,6730.0,57.0,9040000,Americas
4,Canada,1924,6730.0,58.79999923706055,9200000,Americas
5,Canada,1925,7340.0,59.29999923706055,9370000,Americas
6,Canada,1926,7610.0,58.0,9530000,Americas
7,Canada,1927,8200.0,58.70000076293945,9700000,Americas
8,Canada,1928,8750.0,58.599998474121094,9870000,Americas
9,Canada,1929,8570.0,58.0,10000000,Americas
10,Canada,1930,8140.0,59.0,10200000,Americas
11,Canada,1931,6770.0,60.400001525878906,10300000,Americas
12,Canada,1932,6210.0,61.400001525878906,10400000,Americas
13,Canada,1933,5700.0,62.400001525878906,10600000,Americas
14,Canada,1934,6240.0,62.79999923706055,10700000,Americas
15,Canada,1935,6680.0,62.5,10800000,Americas
16,Canada,1936,6980.0,62.70000076293945,10900000,Americas
17,Canada,1937,7570.0,61.400001525878906,11000000,Americas
18,Canada,1938,7690.0,63.29999923706055,11100000,Americas
19,Canada,1939,8070.0,63.70000076293945,11300000,Americas
20,Canada,1940,9080.0,64.0,11400000,Americas
21,Canada,1941,10200.0,63.79999923706055,11600000,Americas
22,Canada,1942,11900.0,64.69999694824219,11800000,Americas
23,Canada,1943,12300.0,64.5999984741211,12000000,Americas
24,Canada,1944,12600.0,65.30000305175781,12300000,Americas
25,Canada,1945,12100.0,66.30000305175781,12500000,Americas
26,Canada,1946,11700.0,66.5,12700000,Americas
27,Canada,1947,12000.0,66.80000305175781,12900000,Americas
28,Canada,1948,12000.0,67.30000305175781,13200000,Americas
29,Canada,1949,11900.0,67.69999694824219,13400000,Americas
30,Canada,1950,12300.0,68.30000305175781,13700000,Americas
31,Canada,1951,12700.0,68.5,14100000,Americas
32,Canada,1952,13200.0,68.80000305175781,14400000,Americas
33,Canada,1953,13500.0,69.0999984741211,14800000,Americas
34,Canada,1954,13000.0,70.0,15200000,Americas
35,Canada,1955,13900.0,70.0,15700000,Americas
36,Canada,1956,14600.0,70.0,16100000,Americas
37,Canada,1957,14600.0,70.0,16600000,Americas
38,Canada,1958,14400.0,70.5999984741211,17000000,Americas
39,Canada,1959,14700.0,70.69999694824219,17400000,Americas
40,Canada,1960,14800.0,71.0,17800000,Americas
41,Canada,1961,14900.0,71.30000305175781,18200000,Americas
42,Canada,1962,15700.0,71.30000305175781,18600000,Americas
43,Canada,1963,16200.0,71.30000305175781,18900000,Americas
44,Canada,1964,16900.0,71.69999694824219,19300000,Americas
45,Canada,1965,17700.0,71.80000305175781,19600000,Americas
46,Canada,1966,18500.0,71.9000015258789,20000000,Americas
47,Canada,1967,18700.0,72.0999984741211,20300000,Americas
48,Canada,1968,19300.0,72.30000305175781,20700000,Americas
49,Canada,1969,20000.0,72.5,21000000,Americas
50,Canada,1970,20300.0,72.69999694824219,21400000,Americas
51,Canada,1971,21100.0,72.80000305175781,21700000,Americas
52,Canada,1972,22000.0,72.9000015258789,22100000,Americas
53,Canada,1973,23200.0,73.0999984741211,22400000,Americas
54,Canada,1974,23800.0,73.30000305175781,22700000,Americas
55,Canada,1975,24000.0,73.5999984741211,23100000,Americas
56,Canada,1976,25000.0,73.9000015258789,23400000,Americas
57,Canada,1977,25500.0,74.19999694824219,23600000,Americas
58,Canada,1978,26300.0,74.5,23900000,Americas
59,Canada,1979,27100.0,74.9000015258789,24200000,Americas
