,pais,ano,pib,expecVida,populacao,continente
0,Cape Verde,1920,1220.0,36.20000076293945,152000,Africa
1,Cape Verde,1921,1230.0,36.29999923706055,153000,Africa
2,Cape Verde,1922,1230.0,36.29999923706055,154000,Africa
3,Cape Verde,1923,1240.0,36.400001525878906,156000,Africa
4,Cape Verde,1924,1250.0,36.400001525878906,158000,Africa
5,Cape Verde,1925,1260.0,36.5,161000,Africa
6,Cape Verde,1926,1270.0,36.5,163000,Africa
7,Cape Verde,1927,1280.0,36.5,165000,Africa
8,Cape Verde,1928,1290.0,36.599998474121094,167000,Africa
9,Cape Verde,1929,1300.0,36.599998474121094,170000,Africa
10,Cape Verde,1930,1310.0,36.70000076293945,173000,Africa
11,Cape Verde,1931,1320.0,36.70000076293945,176000,Africa
12,Cape Verde,1932,1330.0,36.79999923706055,180000,Africa
13,Cape Verde,1933,1330.0,36.79999923706055,184000,Africa
14,Cape Verde,1934,1340.0,36.900001525878906,188000,Africa
15,Cape Verde,1935,1350.0,36.900001525878906,192000,Africa
16,Cape Verde,1936,1360.0,38.0,197000,Africa
17,Cape Verde,1937,1370.0,39.099998474121094,201000,Africa
18,Cape Verde,1938,1380.0,40.099998474121094,205000,Africa
19,Cape Verde,1939,1380.0,41.20000076293945,208000,Africa
20,Cape Verde,1940,1390.0,42.29999923706055,209000,Africa
21,Cape Verde,1941,1400.0,43.400001525878906,208000,Africa
22,Cape Verde,1942,1410.0,44.5,206000,Africa
23,Cape Verde,1943,1420.0,45.599998474121094,201000,Africa
24,Cape Verde,1944,1430.0,46.599998474121094,197000,Africa
25,Cape Verde,1945,1430.0,47.70000076293945,193000,Africa
26,Cape Verde,1946,1440.0,48.79999923706055,188000,Africa
27,Cape Verde,1947,1450.0,49.900001525878906,184000,Africa
28,Cape Verde,1948,1460.0,51.0,180000,Africa
29,Cape Verde,1949,1460.0,52.099998474121094,178000,Africa
30,Cape Verde,1950,1470.0,53.20000076293945,178000,Africa
31,Cape Verde,1951,1490.0,53.400001525878906,186000,Africa
32,Cape Verde,1952,1510.0,53.599998474121094,191000,Africa
33,Cape Verde,1953,1530.0,53.79999923706055,195000,Africa
34,Cape Verde,1954,1510.0,54.0,196000,Africa
35,Cape Verde,1955,1510.0,54.29999923706055,197000,Africa
36,Cape Verde,1956,1530.0,54.5,197000,Africa
37,Cape Verde,1957,1480.0,54.70000076293945,198000,Africa
38,Cape Verde,1958,1470.0,54.900001525878906,198000,Africa
39,Cape Verde,1959,1590.0,55.099998474121094,199000,Africa
40,Cape Verde,1960,1660.0,55.400001525878906,202000,Africa
41,Cape Verde,1961,1690.0,55.5,205000,Africa
42,Cape Verde,1962,1720.0,55.70000076293945,210000,Africa
43,Cape Verde,1963,1730.0,55.900001525878906,216000,Africa
44,Cape Verde,1964,1740.0,56.099998474121094,223000,Africa
45,Cape Verde,1965,1750.0,56.400001525878906,230000,Africa
46,Cape Verde,1966,1750.0,56.79999923706055,239000,Africa
47,Cape Verde,1967,1750.0,57.29999923706055,248000,Africa
48,Cape Verde,1968,1750.0,57.900001525878906,256000,Africa
