,pais,ano,pib,expecVida,populacao,continente
0,Chile,1920,3710.0,32.099998474121094,4030000,Americas
1,Chile,1921,3250.0,32.0,4080000,Americas
2,Chile,1922,3330.0,31.899999618530273,4140000,Americas
3,Chile,1923,3940.0,33.0,4190000,Americas
4,Chile,1924,4170.0,34.099998474121094,4250000,Americas
5,Chile,1925,4280.0,35.20000076293945,4310000,Americas
6,Chile,1926,4100.0,36.29999923706055,4370000,Americas
7,Chile,1927,3960.0,37.400001525878906,4430000,Americas
8,Chile,1928,4890.0,37.70000076293945,4490000,Americas
9,Chile,1929,4950.0,38.099998474121094,4550000,Americas
10,Chile,1930,4250.0,38.400001525878906,4620000,Americas
11,Chile,1931,3400.0,38.79999923706055,4690000,Americas
12,Chile,1932,2570.0,39.099998474121094,4770000,Americas
13,Chile,1933,3160.0,39.20000076293945,4850000,Americas
14,Chile,1934,3720.0,39.29999923706055,4940000,Americas
15,Chile,1935,3930.0,39.400001525878906,5020000,Americas
16,Chile,1936,4000.0,39.5,5110000,Americas
17,Chile,1937,4430.0,39.599998474121094,5190000,Americas
18,Chile,1938,4420.0,40.599998474121094,5280000,Americas
19,Chile,1939,4450.0,41.599998474121094,5380000,Americas
20,Chile,1940,4520.0,42.599998474121094,5470000,Americas
21,Chile,1941,4440.0,43.599998474121094,5570000,Americas
22,Chile,1942,4500.0,44.599998474121094,5670000,Americas
23,Chile,1943,4540.0,45.400001525878906,5780000,Americas
24,Chile,1944,4540.0,46.099998474121094,5890000,Americas
25,Chile,1945,4840.0,47.0,6000000,Americas
26,Chile,1946,5160.0,47.79999923706055,6110000,Americas
27,Chile,1947,4520.0,48.5,6230000,Americas
28,Chile,1948,5180.0,50.70000076293945,6340000,Americas
29,Chile,1949,4980.0,52.900001525878906,6470000,Americas
30,Chile,1950,5130.0,55.099998474121094,6600000,Americas
31,Chile,1951,5230.0,55.20000076293945,6730000,Americas
32,Chile,1952,5450.0,55.5,6870000,Americas
33,Chile,1953,5740.0,55.70000076293945,7020000,Americas
34,Chile,1954,5440.0,56.0,7170000,Americas
35,Chile,1955,5530.0,56.29999923706055,7320000,Americas
36,Chile,1956,5480.0,56.599998474121094,7480000,Americas
37,Chile,1957,5890.0,56.900001525878906,7640000,Americas
38,Chile,1958,6070.0,57.20000076293945,7800000,Americas
39,Chile,1959,5590.0,57.599998474121094,7970000,Americas
40,Chile,1960,5910.0,57.900001525878906,8130000,Americas
41,Chile,1961,6040.0,58.29999923706055,8300000,Americas
42,Chile,1962,6170.0,58.79999923706055,8480000,Americas
43,Chile,1963,6400.0,59.20000076293945,8650000,Americas
44,Chile,1964,6390.0,59.70000076293945,8820000,Americas
45,Chile,1965,6290.0,60.29999923706055,8990000,Americas
46,Chile,1966,6850.0,60.79999923706055,9150000,Americas
47,Chile,1967,6930.0,61.400001525878906,9310000,Americas
48,Chile,1968,7040.0,61.900001525878906,9470000,Americas
49,Chile,1969,7160.0,62.5,9630000,Americas
50,Chile,1970,7170.0,63.099998474121094,9780000,Americas
51,Chile,1971,7670.0,63.400001525878906,9940000,Americas
52,Chile,1972,7450.0,63.599998474121094,10100000,Americas
53,Chile,1973,6920.0,64.19999694824219,10300000,Americas
54,Chile,1974,6880.0,66.0,10400000,Americas
55,Chile,1975,5890.0,66.80000305175781,10600000,Americas
56,Chile,1976,6020.0,67.19999694824219,10800000,Americas
57,Chile,1977,6520.0,67.80000305175781,10900000,Americas
58,Chile,1978,6960.0,68.5,11100000,Americas
59,Chile,1979,7430.0,69.0,11300000,Americas
60,Chile,1980,7910.0,69.9000015258789,11400000,Americas
61,Chile,1981,8270.0,70.80000305175781,11600000,Americas
62,Chile,1982,7030.0,71.0999984741211,11700000,Americas
63,Chile,1983,6730.0,71.0999984741211,11900000,Americas
64,Chile,1984,7020.0,71.30000305175781,12100000,Americas
65,Chile,1985,7050.0,71.80000305175781,12300000,Americas
66,Chile,1986,7310.0,72.5999984741211,12400000,Americas
67,Chile,1987,7660.0,73.0999984741211,12600000,Americas
68,Chile,1988,8080.0,73.0999984741211,12800000,Americas
69,Chile,1989,8790.0,73.0,13100000,Americas
70,Chile,1990,8970.0,73.19999694824219,13300000,Americas
71,Chile,1991,9510.0,74.19999694824219,13500000,Americas
72,Chile,1992,10400.0,74.9000015258789,13700000,Americas
73,Chile,1993,10900.0,74.9000015258789,13900000,Americas
74,Chile,1994,11300.0,75.0,14200000,Americas
75,Chile,1995,12100.0,75.0999984741211,14400000,Americas
76,Chile,1996,12700.0,75.4000015258789,14600000,Americas
77,Chile,1997,13500.0,75.80000305175781,14800000,Americas
78,Chile,1998,13900.0,76.0,15000000,Americas
