,pais,ano,pib,expecVida,populacao,continente
0,Colombia,1920,1700.0,33.29999923706055,6390000,Americas
1,Colombia,1921,1760.0,33.400001525878906,6540000,Americas
2,Colombia,1922,1840.0,33.400001525878906,6700000,Americas
3,Colombia,1923,1920.0,33.400001525878906,6870000,Americas
4,Colombia,1924,1990.0,33.5,7040000,Americas
5,Colombia,1925,1990.0,33.5,7210000,Americas
6,Colombia,1926,2130.0,33.5,7390000,Americas
7,Colombia,1927,2260.0,33.5,7570000,Americas
8,Colombia,1928,2360.0,33.5,7750000,Americas
9,Colombia,1929,2390.0,33.599998474121094,7930000,Americas
10,Colombia,1930,2340.0,33.599998474121094,8090000,Americas
11,Colombia,1931,2300.0,34.20000076293945,8240000,Americas
12,Colombia,1932,2400.0,34.900001525878906,8380000,Americas
13,Colombia,1933,2500.0,35.5,8500000,Americas
14,Colombia,1934,2420.0,36.099998474121094,8630000,Americas
15,Colombia,1935,2660.0,36.79999923706055,8760000,Americas
16,Colombia,1936,2770.0,37.400001525878906,8890000,Americas
17,Colombia,1937,2780.0,38.0,9020000,Americas
18,Colombia,1938,2920.0,38.70000076293945,9150000,Americas
19,Colombia,1939,3020.0,39.599998474121094,9310000,Americas
20,Colombia,1940,3010.0,40.599998474121094,9480000,Americas
21,Colombia,1941,2980.0,41.599998474121094,9670000,Americas
22,Colombia,1942,2910.0,42.5,9880000,Americas
23,Colombia,1943,2840.0,43.5,10100000,Americas
24,Colombia,1944,2950.0,44.5,10400000,Americas
25,Colombia,1945,3010.0,45.599998474121094,10600000,Americas
26,Colombia,1946,3200.0,46.79999923706055,10900000,Americas
27,Colombia,1947,3240.0,48.0,11100000,Americas
28,Colombia,1948,3250.0,49.20000076293945,11400000,Americas
29,Colombia,1949,3340.0,50.400001525878906,11700000,Americas
30,Colombia,1950,3410.0,51.599998474121094,12000000,Americas
31,Colombia,1951,3410.0,52.29999923706055,12300000,Americas
32,Colombia,1952,3510.0,53.599998474121094,12600000,Americas
33,Colombia,1953,3610.0,54.79999923706055,13000000,Americas
34,Colombia,1954,3740.0,55.900001525878906,13400000,Americas
35,Colombia,1955,3760.0,57.0,13800000,Americas
36,Colombia,1956,3790.0,57.900001525878906,14200000,Americas
37,Colombia,1957,3810.0,58.79999923706055,14600000,Americas
38,Colombia,1958,3780.0,59.599998474121094,15100000,Americas
39,Colombia,1959,3920.0,60.400001525878906,15600000,Americas
40,Colombia,1960,3960.0,61.0,16100000,Americas
41,Colombia,1961,4030.0,61.599998474121094,16600000,Americas
42,Colombia,1962,4120.0,62.20000076293945,17100000,Americas
43,Colombia,1963,4120.0,62.79999923706055,17600000,Americas
44,Colombia,1964,4250.0,63.29999923706055,18200000,Americas
45,Colombia,1965,4270.0,63.79999923706055,18700000,Americas
46,Colombia,1966,4370.0,64.30000305175781,19300000,Americas
47,Colombia,1967,4430.0,64.69999694824219,19800000,Americas
48,Colombia,1968,4570.0,65.19999694824219,20400000,Americas
49,Colombia,1969,4740.0,65.5999984741211,20900000,Americas
50,Colombia,1970,4920.0,66.0,21500000,Americas
51,Colombia,1971,5080.0,66.0,22000000,Americas
52,Colombia,1972,5340.0,65.5,22500000,Americas
53,Colombia,1973,5570.0,65.4000015258789,23000000,Americas
54,Colombia,1974,5760.0,65.69999694824219,23500000,Americas
55,Colombia,1975,5770.0,66.5,24100000,Americas
56,Colombia,1976,5920.0,67.0,24600000,Americas
57,Colombia,1977,6050.0,67.9000015258789,25200000,Americas
58,Colombia,1978,6450.0,68.0999984741211,25700000,Americas
59,Colombia,1979,6670.0,68.30000305175781,26300000,Americas
60,Colombia,1980,6800.0,69.0,26900000,Americas
61,Colombia,1981,6790.0,69.5,27500000,Americas
62,Colombia,1982,6710.0,70.0,28100000,Americas
63,Colombia,1983,6670.0,70.19999694824219,28700000,Americas
64,Colombia,1984,6760.0,70.5999984741211,29300000,Americas
65,Colombia,1985,6830.0,68.0,30000000,Americas
66,Colombia,1986,7100.0,70.5999984741211,30600000,Americas
67,Colombia,1987,7320.0,70.5999984741211,31200000,Americas
68,Colombia,1988,7470.0,70.80000305175781,31800000,Americas
69,Colombia,1989,7570.0,71.0,32500000,Americas
70,Colombia,1990,7730.0,71.4000015258789,33100000,Americas
71,Colombia,1991,7730.0,70.9000015258789,33800000,Americas
72,Colombia,1992,7890.0,71.0,34400000,Americas
73,Colombia,1993,8150.0,71.5,35100000,Americas
74,Colombia,1994,8470.0,71.69999694824219,35800000,Americas
75,Colombia,1995,8750.0,72.0,36400000,Americas
76,Colombia,1996,8770.0,72.30000305175781,37100000,Americas
77,Colombia,1997,8910.0,73.19999694824219,37700000,Americas
78,Colombia,1998,8810.0,73.69999694824219,38400000,Americas
79,Colombia,1999,8310.0,73.9000015258789,39000000,Americas
80,Colombia,2000,8410.0,74.0999984741211,39600000,Americas
81,Colombia,2001,8420.0,74.30000305175781,40300000,Americas
82,Colombia,2002,8500.0,73.30000305175781,40900000,Americas
83,Colombia,2003,8710.0,75.0999984741211,41500000,Americas
84,Colombia,2004,9040.0,75.5999984741211,42100000,Americas
85,Colombia,2005,9340.0,76.4000015258789,42600000,Americas
86,Colombia,2006,9840.0,76.5999984741211,43200000,Americas
87,Colombia,2007,10400.0,77.30000305175781,43700000,Americas
88,Colombia,2008,10600.0,77.5999984741211,44300000,Americas
89,Colombia,2009,10600.0,77.69999694824219,44800000,Americas
90,Colombia,2010,11000.0,78.0999984741211,45200000,Americas
91,Colombia,2011,11700.0,78.9000015258789,45700000,Americas
92,Colombia,2012,12000.0,79.30000305175781,46100000,Americas
93,Colombia,2013,12400.0,79.5999984741211,46500000,Americas
94,Colombia,2014,12900.0,80.0,47000000,Americas
95,Colombia,2015,13100.0,80.0,47500000,Americas
96,Colombia,2016,13200.0,80.0,48200000,Americas
97,Colombia,2017,13200.0,80.0999984741211,48900000,Americas
98,Colombia,2018,13300.0,80.30000305175781,49700000,Americas
99,Colombia,2019,13600.0,80.5,50300000,Americas
100,Colombia,2020,14000.0,80.69999694824219,50900000,Americas
