,pais,ano,pib,expecVida,populacao,continente
0,Croatia,1920,3240.0,36.099998474121094,2970000,Europe
1,Croatia,1921,3270.0,36.900001525878906,2990000,Europe
2,Croatia,1922,3320.0,37.70000076293945,3020000,Europe
3,Croatia,1923,3420.0,38.5,3050000,Europe
4,Croatia,1924,3590.0,39.29999923706055,3070000,Europe
5,Croatia,1925,3690.0,40.099998474121094,3100000,Europe
6,Croatia,1926,3870.0,40.900001525878906,3130000,Europe
7,Croatia,1927,3730.0,41.70000076293945,3150000,Europe
8,Croatia,1928,3980.0,42.5,3180000,Europe
9,Croatia,1929,4110.0,43.29999923706055,3210000,Europe
10,Croatia,1930,3950.0,44.099998474121094,3240000,Europe
11,Croatia,1931,3750.0,44.900001525878906,3270000,Europe
12,Croatia,1932,3340.0,45.70000076293945,3300000,Europe
13,Croatia,1933,3370.0,46.5,3320000,Europe
14,Croatia,1934,3430.0,47.29999923706055,3350000,Europe
15,Croatia,1935,3310.0,48.099998474121094,3380000,Europe
16,Croatia,1936,3660.0,48.900001525878906,3410000,Europe
17,Croatia,1937,3650.0,49.70000076293945,3440000,Europe
18,Croatia,1938,3860.0,50.5,3470000,Europe
19,Croatia,1939,4000.0,51.29999923706055,3500000,Europe
20,Croatia,1940,3940.0,52.099998474121094,3540000,Europe
21,Croatia,1941,3880.0,41.599998474121094,3570000,Europe
22,Croatia,1942,3820.0,38.099998474121094,3600000,Europe
23,Croatia,1943,3760.0,35.70000076293945,3630000,Europe
24,Croatia,1944,3700.0,34.099998474121094,3660000,Europe
25,Croatia,1945,3640.0,36.70000076293945,3690000,Europe
26,Croatia,1946,3590.0,50.0,3730000,Europe
27,Croatia,1947,3530.0,56.900001525878906,3760000,Europe
28,Croatia,1948,4130.0,58.400001525878906,3790000,Europe
29,Croatia,1949,4440.0,59.29999923706055,3820000,Europe
30,Croatia,1950,4080.0,60.20000076293945,3850000,Europe
31,Croatia,1951,4150.0,60.400001525878906,3890000,Europe
32,Croatia,1952,3750.0,60.900001525878906,3920000,Europe
33,Croatia,1953,4050.0,61.400001525878906,3960000,Europe
34,Croatia,1954,4380.0,61.900001525878906,4000000,Europe
35,Croatia,1955,5140.0,62.400001525878906,4030000,Europe
36,Croatia,1956,4890.0,62.900001525878906,4060000,Europe
37,Croatia,1957,5760.0,63.29999923706055,4100000,Europe
38,Croatia,1958,5880.0,63.79999923706055,4130000,Europe
39,Croatia,1959,6360.0,64.19999694824219,4160000,Europe
40,Croatia,1960,6950.0,64.5999984741211,4190000,Europe
41,Croatia,1961,7410.0,65.0,4220000,Europe
42,Croatia,1962,7550.0,65.4000015258789,4250000,Europe
43,Croatia,1963,8300.0,65.80000305175781,4280000,Europe
