,pais,ano,pib,expecVida,populacao,continente
0,Denmark,1920,7170.0,57.5,3240000,Europe
1,Denmark,1921,6880.0,61.70000076293945,3270000,Europe
2,Denmark,1922,7490.0,60.599998474121094,3310000,Europe
3,Denmark,1923,8190.0,61.099998474121094,3330000,Europe
4,Denmark,1924,8140.0,61.099998474121094,3360000,Europe
5,Denmark,1925,7870.0,61.900001525878906,3390000,Europe
6,Denmark,1926,8260.0,61.599998474121094,3420000,Europe
7,Denmark,1927,8370.0,61.099998474121094,3450000,Europe
8,Denmark,1928,8600.0,61.79999923706055,3490000,Europe
9,Denmark,1929,9120.0,61.900001525878906,3520000,Europe
10,Denmark,1930,9600.0,62.20000076293945,3550000,Europe
11,Denmark,1931,9630.0,61.79999923706055,3580000,Europe
12,Denmark,1932,9290.0,62.599998474121094,3600000,Europe
13,Denmark,1933,9510.0,63.5,3630000,Europe
14,Denmark,1934,9710.0,64.0,3660000,Europe
15,Denmark,1935,9850.0,62.79999923706055,3690000,Europe
16,Denmark,1936,10000.0,63.400001525878906,3720000,Europe
17,Denmark,1937,10200.0,63.900001525878906,3750000,Europe
18,Denmark,1938,10400.0,64.9000015258789,3780000,Europe
19,Denmark,1939,10800.0,65.69999694824219,3810000,Europe
20,Denmark,1940,9190.0,66.0999984741211,3850000,Europe
21,Denmark,1941,8220.0,65.9000015258789,3880000,Europe
22,Denmark,1942,8320.0,67.0,3920000,Europe
23,Denmark,1943,9130.0,67.30000305175781,3970000,Europe
24,Denmark,1944,9960.0,66.30000305175781,4010000,Europe
25,Denmark,1945,9100.0,65.9000015258789,4050000,Europe
26,Denmark,1946,10400.0,67.0999984741211,4100000,Europe
27,Denmark,1947,10800.0,68.4000015258789,4140000,Europe
28,Denmark,1948,11000.0,70.0,4190000,Europe
29,Denmark,1949,11700.0,70.0,4230000,Europe
30,Denmark,1950,12500.0,70.19999694824219,4270000,Europe
31,Denmark,1951,12500.0,70.80000305175781,4310000,Europe
32,Denmark,1952,12500.0,70.5999984741211,4350000,Europe
33,Denmark,1953,13100.0,71.0,4380000,Europe
34,Denmark,1954,13200.0,71.19999694824219,4410000,Europe
35,Denmark,1955,13300.0,71.69999694824219,4440000,Europe
36,Denmark,1956,13400.0,71.9000015258789,4470000,Europe
37,Denmark,1957,14300.0,71.5999984741211,4500000,Europe
38,Denmark,1958,14500.0,72.0,4520000,Europe
39,Denmark,1959,15500.0,72.0,4550000,Europe
40,Denmark,1960,15800.0,72.0,4580000,Europe
41,Denmark,1961,16700.0,72.30000305175781,4610000,Europe
42,Denmark,1962,17500.0,72.19999694824219,4650000,Europe
43,Denmark,1963,17500.0,72.19999694824219,4690000,Europe
44,Denmark,1964,19000.0,72.30000305175781,4720000,Europe
45,Denmark,1965,19700.0,72.19999694824219,4760000,Europe
46,Denmark,1966,20100.0,72.30000305175781,4800000,Europe
47,Denmark,1967,20600.0,72.80000305175781,4830000,Europe
48,Denmark,1968,21400.0,73.0,4870000,Europe
49,Denmark,1969,22600.0,73.0,4900000,Europe
50,Denmark,1970,22900.0,73.19999694824219,4930000,Europe
51,Denmark,1971,23400.0,73.30000305175781,4960000,Europe
52,Denmark,1972,24500.0,73.4000015258789,4990000,Europe
53,Denmark,1973,25300.0,73.5999984741211,5020000,Europe
54,Denmark,1974,24900.0,73.80000305175781,5040000,Europe
55,Denmark,1975,24700.0,73.9000015258789,5060000,Europe
56,Denmark,1976,26300.0,74.0,5080000,Europe
57,Denmark,1977,26600.0,74.30000305175781,5100000,Europe
58,Denmark,1978,26900.0,74.30000305175781,5110000,Europe
59,Denmark,1979,27800.0,74.19999694824219,5120000,Europe
60,Denmark,1980,27700.0,74.19999694824219,5120000,Europe
61,Denmark,1981,27500.0,74.30000305175781,5130000,Europe
62,Denmark,1982,28400.0,74.4000015258789,5120000,Europe
63,Denmark,1983,29100.0,74.4000015258789,5120000,Europe
64,Denmark,1984,30400.0,74.5,5120000,Europe
65,Denmark,1985,31700.0,74.5,5110000,Europe
66,Denmark,1986,32900.0,74.69999694824219,5110000,Europe
67,Denmark,1987,32900.0,74.80000305175781,5120000,Europe
68,Denmark,1988,33300.0,74.9000015258789,5120000,Europe
69,Denmark,1989,33400.0,74.9000015258789,5130000,Europe
70,Denmark,1990,33800.0,75.0,5140000,Europe
71,Denmark,1991,34200.0,75.30000305175781,5150000,Europe
72,Denmark,1992,34700.0,75.4000015258789,5170000,Europe
73,Denmark,1993,34600.0,75.4000015258789,5190000,Europe
74,Denmark,1994,36300.0,75.30000305175781,5210000,Europe
75,Denmark,1995,37200.0,75.5,5230000,Europe
76,Denmark,1996,38100.0,75.80000305175781,5250000,Europe
77,Denmark,1997,39200.0,76.19999694824219,5280000,Europe
78,Denmark,1998,39900.0,76.5999984741211,5300000,Europe
79,Denmark,1999,40900.0,76.30000305175781,5320000,Europe
80,Denmark,2000,42300.0,77.0,5340000,Europe
81,Denmark,2001,42500.0,77.19999694824219,5360000,Europe
82,Denmark,2002,42600.0,77.19999694824219,5370000,Europe
83,Denmark,2003,42600.0,77.5,5390000,Europe
84,Denmark,2004,43700.0,77.80000305175781,5400000,Europe
85,Denmark,2005,44600.0,78.30000305175781,5420000,Europe
86,Denmark,2006,46200.0,78.30000305175781,5440000,Europe
87,Denmark,2007,46400.0,78.4000015258789,5470000,Europe
88,Denmark,2008,45900.0,78.80000305175781,5500000,Europe
89,Denmark,2009,43400.0,79.0,5530000,Europe
90,Denmark,2010,44000.0,79.30000305175781,5550000,Europe
91,Denmark,2011,44400.0,79.80000305175781,5580000,Europe
