,pais,ano,pib,expecVida,populacao,continente
0,Djibouti,1920,1320.0,32.79999923706055,44400,Africa
1,Djibouti,1921,1360.0,32.900001525878906,44700,Africa
2,Djibouti,1922,1400.0,32.900001525878906,45100,Africa
3,Djibouti,1923,1440.0,33.0,45500,Africa
4,Djibouti,1924,1480.0,33.0,46000,Africa
5,Djibouti,1925,1530.0,33.099998474121094,46400,Africa
6,Djibouti,1926,1570.0,33.099998474121094,46900,Africa
7,Djibouti,1927,1620.0,33.20000076293945,47400,Africa
8,Djibouti,1928,1670.0,33.29999923706055,47900,Africa
9,Djibouti,1929,1720.0,33.29999923706055,48300,Africa
10,Djibouti,1930,1770.0,33.400001525878906,48800,Africa
11,Djibouti,1931,1820.0,33.400001525878906,49200,Africa
12,Djibouti,1932,1870.0,33.5,49600,Africa
13,Djibouti,1933,1930.0,33.5,50000,Africa
14,Djibouti,1934,1990.0,33.599998474121094,50400,Africa
15,Djibouti,1935,2050.0,33.70000076293945,50800,Africa
16,Djibouti,1936,2110.0,33.70000076293945,51200,Africa
17,Djibouti,1937,2170.0,33.79999923706055,51600,Africa
18,Djibouti,1938,2230.0,33.79999923706055,52000,Africa
19,Djibouti,1939,2300.0,33.900001525878906,52500,Africa
20,Djibouti,1940,2370.0,34.0,53100,Africa
21,Djibouti,1941,2440.0,34.0,53700,Africa
22,Djibouti,1942,2510.0,34.099998474121094,54500,Africa
23,Djibouti,1943,2590.0,34.099998474121094,55300,Africa
24,Djibouti,1944,2670.0,34.20000076293945,56100,Africa
25,Djibouti,1945,2750.0,34.20000076293945,57000,Africa
26,Djibouti,1946,2830.0,36.70000076293945,57800,Africa
27,Djibouti,1947,2920.0,39.20000076293945,58700,Africa
28,Djibouti,1948,3010.0,41.599998474121094,59600,Africa
29,Djibouti,1949,3100.0,44.099998474121094,60700,Africa
30,Djibouti,1950,3190.0,46.599998474121094,62000,Africa
31,Djibouti,1951,3290.0,46.900001525878906,63300,Africa
32,Djibouti,1952,3310.0,47.29999923706055,64700,Africa
33,Djibouti,1953,3350.0,47.79999923706055,66300,Africa
